Water.System.No.,Unnamed,Regulating Agency,System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,SC,Pop,Last SNSV,tag,log SC
510002,306,DISTRICT 10 - STOCKTON,CALAVERAS PUD,C,C,D2,T3,DAVCL,1895,6254,8/28/2018,Bin B,3.2776092143040896
3310033,287,DISTRICT 20 - RIVERSIDE,SANTA ANA RIVER WATER COMPANY,C,C,D2,Operator is not required,C1,2031,6613,8/17/2020,Bin B,3.30770992340481
5010006,279,DISTRICT 10 - STOCKTON,CITY OF WATERFORD,C,C,D2,T2,C1,2112,8788,3/5/2019,Bin B,3.32469391386177
4710011,197,DISTRICT 01 - KLAMATH,"YREKA, CITY OF",C,C,D2,T3,DAVCL,2993,7290,10/24/2019,Bin B,3.4761067168401896
3310030,434,DISTRICT 20 - RIVERSIDE,PINE COVE WATER DISTRICT,C,C,D2,T1,C1,1107,1250,9/20/2016,Bin B,3.04414762087872
1710021,411,DISTRICT 03 - MENDOCINO,LAKE COUNTY CSA 21 - NORTH LAKEPORT,C,C,D2,T3,DAVCL,1196,2759,11/13/2018,Bin B,3.07773117965239
1910086,288,DISTRICT 16 - CENTRAL,MAYWOOD MUTUAL WATER CO. #3,C,C,D2,TD,C1,2014,9500,9/11/2018,Bin B,3.3040594662176
2410010,231,DISTRICT 11 - MERCED,WINTON WATER & SANITARY DIST,C,C,D2,TD,DAVCL,2667,9500,9/9/2019,Bin B,3.4260230156898794
1910108,341,DISTRICT 15 - METROPOLITAN,CITY OF BELL GARDENS,C,C,D2,T2,DAVCL,1658,4074,7/17/2018,Bin B,3.2195845262142497
1910163,335,DISTRICT 16 - CENTRAL,VALENCIA HEIGHTS WATER CO.,C,C,D3,T2,C1,1677,7775,10/18/2018,Bin B,3.2245330626060897
1910167,435,DISTRICT 15 - METROPOLITAN,"VERNON-CITY, WATER DEPT.",C,C,D4,T1,C1,1104,30000,3/4/2020,Bin B,3.0429690733931802
3910010,322,DISTRICT 10 - STOCKTON,SAN JOAQUIN COUNTY - LINCOLN VILLAGE,C,C,D2,There are no treatment plants,C1,1795,5924,6/19/2018,Bin B,3.25406445291434
1310801,290,DISTRICT 14 - SAN DIEGO,CENTINELA STATE PRISON,C,C,D2,T3,C1,2001,4600,5/28/2015,Bin B,3.30124708863621
3310017,200,DISTRICT 20 - RIVERSIDE,SOUTH MESA WC,C,C,D2,Operator is not required,C1,2974,9936,5/15/2017,Bin B,3.47334096418594
4010018,365,DISTRICT 06 - SANTA BARBARA,GOLDEN STATE WATER COMPANY - NIPOMO,C,C,D2,T1,C1,1505,4415,5/24/2017,Bin B,3.1775364999298596
1910029,312,DISTRICT 07 - HOLLYWOOD,CITY OF INDUSTRY WATERWORKS SYSTEMS,C,C,D2,Operator is not required,C1,1856,6813,1/11/2018,Bin B,3.2685779718828396
1010026,277,DISTRICT 12 - VISALIA,PINEDALE COUNTY WATER DISTRICT,C,C,D2,TD,C1,2119,16735,11/16/2018,Bin B,3.3261309567107897
3310040,417,DISTRICT 20 - RIVERSIDE,FERN VALLEY WD,C,C,D2,T2,C1,1175,900,12/11/2018,Bin B,3.0700378666077595
1910117,368,DISTRICT 22 - ANGELES,"MONTEBELLO-CITY, WATER DEPT.",C,C,D2,TD,C1,1493,8195,8/6/2019,Bin B,3.1740598077250297
1910064,390,DISTRICT 07 - HOLLYWOOD,LITTLEROCK CREEK IRRIGATION DIST.,C,C,D2,TD,DAVCL,1294,3405,12/12/2017,Bin B,3.11193427633268
1010021,301,DISTRICT 23 - FRESNO,"MENDOTA, CITY OF",C,C,D3,T2,C1,1911,11104,6/29/2017,Bin B,3.2812606870550094
2710005,282,DISTRICT 05 - MONTEREY,CASTROVILLE COMMUNITY SERVICES DISTRICT,C,C,D2,T2,DAVCL,2084,10000,7/12/2017,Bin B,3.31889771462749
3610125,183,DISTRICT 13 - SAN BERNARDINO,SBNDO COUNTY SERVICE AREA 70J,C,C,D4,TD,C1,3300,11944,6/3/2016,Bin B,3.51851393987789
3310036,210,DISTRICT 20 - RIVERSIDE,WESTERN MWD - MURRIETA DIVISION,C,C,D2,Operator is not required,C1,2872,12722,6/13/2017,Bin B,3.4581844355702596
3310802,309,DISTRICT 20 - RIVERSIDE,CHUCKAWALLA VALLEY STATE PRISON,C,C,D3,T3,C1,1864,7526,8/14/2019,Bin B,3.27044590801796
2410008,329,DISTRICT 11 - MERCED,CAL AM - MEADOWBROOK,C,C,D2,TD,C1,1709,5640,12/12/2017,Bin B,3.2327420627207406
2310006,363,DISTRICT 03 - MENDOCINO,MILLVIEW COUNTY WATER DISTRICT,C,C,D3,T3,C1,1534,5500,3/14/2018,Bin B,3.18582535961296
5310001,347,DISTRICT 01 - KLAMATH,WEAVERVILLE C.S.D.,C,C,D2,T3,DAVCL,1636,3600,12/12/2017,Bin B,3.2137832993353
3610085,407,DISTRICT 13 - SAN BERNARDINO,SAN ANTONIO WATER COMPANY,C,C,D3,TD,C1,1210,3371,8/6/2019,Bin B,3.08278537031645
3110026,259,DISTRICT 09 - SACRAMENTO,NEVADA ID - NORTH AUBURN,C,C,D2,T3,C1,2349,6671,10/24/2018,Bin B,3.3708830167776096
1910060,249,DISTRICT 16 - CENTRAL,LA PUENTE VALLEY CWD,C,C,D3,T3,C1,2449,9842,10/29/2018,Bin B,3.38898878512471
5410008,356,DISTRICT 24 - TULARE,OROSI PUBLIC UTILITY DISTRICT,C,C,D2,TD,DAVCL,1578,8770,11/15/2018,Bin B,3.1981069988734
2710012,342,DISTRICT 05 - MONTEREY,CWSC SALINAS HILLS,C,C,D2,T1,C1,1652,8213,9/14/2018,Bin B,3.2180100429843597
3610053,265,DISTRICT 13 - SAN BERNARDINO,WESTERN HEIGHTS WATER COMPANY,C,C,D2,T1,C1,2247,7405,6/6/2019,Bin B,3.3516030724191297
3210006,334,DISTRICT 02 - LASSEN,LAKE ALMANOR COUNTRY CLUB MWC,C,C,D1,There are no treatment plants,C1,1682,6000,4/12/2017,Bin B,3.2258259914618903
1510033,324,DISTRICT 19 - TEHACHAPI,CWS - KERNVILLE,C,C,D2,T3,C1,1779,2520,11/13/2019,Bin B,3.25017594808393
3310048,354,DISTRICT 20 - RIVERSIDE,COACHELLA VWD: I.D. NO. 8,C,C,D3,Operator is not required,DAVCL,1586,4300,6/4/2018,Bin B,3.20030318298158
1210012,401,DISTRICT 01 - KLAMATH,"RIO DELL, CITY OF",C,C,D2,Missing treatment classification in SDWIS,C1,1233,3174,6/16/2020,Bin B,3.09096307659573
3110003,286,DISTRICT 02 - LASSEN,FORESTHILL PUBLIC UTILITY DIST,C,C,D2,T3,DAVCL,2032,6000,5/1/2017,Bin B,3.30792370361188
3310026,307,DISTRICT 20 - RIVERSIDE,NUEVO WATER COMPANY,C,C,D3,T2,C1,1895,6447,3/20/2018,Bin B,3.2776092143040896
5610022,275,DISTRICT 06 - SANTA BARBARA,VENTURA RIVER WATER DISTRICT,C,C,D3,T1,C1,2151,5700,12/10/2019,Bin B,3.33264041038746
3610009,348,DISTRICT 13 - SAN BERNARDINO,BIGHORN - DESERT VIEW WATER AGENCY,C,C,D2,TD,DAVCL,1631,3086,1/16/2020,Bin B,3.21245396104028
3910003,246,DISTRICT 10 - STOCKTON,"ESCALON, CITY OF",C,C,D2,TD,C1,2495,7725,8/22/2019,Bin B,3.3970705499594103
3610031,378,DISTRICT 13 - SAN BERNARDINO,MUSCOY MWC NO. 1,C,C,D2,TD,DAVCL,1402,7500,4/11/2013,Bin B,3.14674801363064
4810800,233,DISTRICT 04 - SAN FRANCISCO,CALIFORNIA STATE PRISON - SOLANO,C,C,D2,T3,C1,2610,9999,12/20/2017,Bin B,3.41664050733828
4910007,310,DISTRICT 18 - SONOMA,"SEA RANCH WATER COMPANY,THE (PUC)",C,C,D2,T3,C1,1864,6151,11/29/2011,Bin B,3.27044590801796
5510013,298,DISTRICT 11 - MERCED,TUD - COLUMBIA WATER SYSTEM,C,C,D3,T3,DAVCL,1914,4352,11/16/2017,Bin B,3.28194193344082
2510001,371,DISTRICT 01 - KLAMATH,CITY OF ALTURAS,C,C,D2,There are no treatment plants,DAVCL,1470,2537,6/24/2019,Bin B,3.16731733474818
1710002,280,DISTRICT 03 - MENDOCINO,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,C,C,D2,T3,DAVCL,2104,4104,1/8/2020,Bin B,3.3230457354817005
1910072,374,DISTRICT 15 - METROPOLITAN,GSWC - WILLOWBROOK,C,C,D2,T1,C1,1441,11037,6/13/2019,Bin B,3.1586639808139902
4910023,270,DISTRICT 18 - SONOMA,CALIFORNIA-AMERICAN LARKFIELD (PUC),C,C,D3,T2,C1,2203,7270,3/28/2017,Bin B,3.34301449715077
1910140,190,DISTRICT 16 - CENTRAL,RUBIO CANON LAND & WATER ASSOCIATION,C,C,D3,T3,C1,3128,9600,11/20/2019,Bin B,3.49526674438781
4510007,403,DISTRICT 02 - LASSEN,COTTONWOOD COUNTY WATER DIST.,C,C,D2,There are no treatment plants,C1,1226,3316,10/16/2019,Bin B,3.0884904701824
5510009,188,DISTRICT 11 - MERCED,GROVELAND COMMUNITY SERV DIST,C,C,D3,T2,DAVCL,3246,3400,11/1/2017,Bin B,3.51134851549021
1510703,381,DISTRICT 19 - TEHACHAPI,CHINA LAKE NAVAL AIR WEAPONS STATION,C,C,D3,T2,C1,1380,5000,8/15/2018,Bin B,3.13987908640124
3410033,253,DISTRICT 09 - SACRAMENTO,FLORIN COUNTY WATER DISTRICT,C,C,D2,T1,C1,2373,7652,11/20/2019,Bin B,3.37529773821734
1010001,243,DISTRICT 12 - VISALIA,BAKMAN WATER COMPANY,C,C,D2,T3,DAVCL,2505,16756,12/10/2018,Bin B,3.3988077302032598
1910054,202,DISTRICT 16 - CENTRAL,LA CANADA IRRIGATION DIST.,C,C,D3,TD,C1,2939,9300,11/7/2018,Bin B,3.46819958607261
4210018,315,DISTRICT 06 - SANTA BARBARA,BUELLTON WATER DEPARTMENT,C,C,D2,T1,C1,1836,5453,9/27/2017,Bin B,3.26387267686522
3010082,263,DISTRICT 08 - SANTA ANA,SERRANO WATER DISTRICT,C,C,D2,T3,C1,2254,5895,12/12/2018,Bin B,3.35295391171009
510001,336,DISTRICT 10 - STOCKTON,UNION PUBLIC UTILITY DISTRICT,C,C,D2,T3,DAVCL,1667,4300,7/17/2020,Bin B,3.2219355998280097
2410002,241,DISTRICT 11 - MERCED,CITY OF DOS PALOS,C,C,D2,T3,C1,2522,7452,12/5/2017,Bin B,3.4017450822370603
4010012,294,DISTRICT 06 - SANTA BARBARA,HERITAGE RANCH CSD,C,C,D2,T3,C1,1944,3428,5/29/2018,Bin B,3.28869626059026
1510800,318,DISTRICT 19 - TEHACHAPI,CCI - TEHACHAPI,C,C,D2,T1,C1,1802,5153,4/26/2017,Bin B,3.25575478664304
3110150,385,DISTRICT 09 - SACRAMENTO,CALAM - WEST PLACER,C,C,D2,There are no treatment plants,C1,1352,4472,3/2/2020,Bin B,3.1309766916056203
2310001,201,DISTRICT 03 - MENDOCINO,"FORT BRAGG, CITY OF",C,C,D2,T3,DAVCL,2944,7250,8/16/2017,Bin B,3.46893780566546
1910046,360,DISTRICT 07 - HOLLYWOOD,SUBURBAN WATER SYSTEMS-GLENDORA,C,C,D2,There are no treatment plants,C1,1559,6543,4/11/2019,Bin B,3.19284611518884
4710002,414,DISTRICT 01 - KLAMATH,"DUNSMUIR, CITY OF",C,C,D2,There are no treatment plants,DAVCL,1187,1923,4/1/2020,Bin B,3.0744507189545898
4210019,395,DISTRICT 06 - SANTA BARBARA,MISSION HILLS CSD,C,C,D2,T1,C1,1271,3560,4/5/2018,Bin B,3.10414555055401
3110009,370,DISTRICT 02 - LASSEN,MEADOW VISTA CWD,C,C,D2,T3,C1,1478,4001,5/1/2017,Bin B,3.16967443405881
4210700,423,DISTRICT 06 - SANTA BARBARA,"AMERICAN WATER O&M, LLC - VAFB",C,C,D4,T2,C1,1161,14971,6/27/2019,Bin B,3.06483221973857
2710007,299,DISTRICT 05 - MONTEREY,"GONZALES, CITY OF",C,C,D2,TD,C1,1912,8549,2/8/2018,Bin B,3.28148788794008
4210003,268,DISTRICT 06 - SANTA BARBARA,GUADALUPE WATER DEPARTMENT,C,C,D2,T2,DAVCL,2219,7517,9/19/2017,Bin B,3.34615730223201
1510012,182,DISTRICT 12 - VISALIA,LAMONT PUBLIC UTILITY DIST,C,C,D3,T2,DAVCL,3300,19057,10/24/2018,Bin B,3.51851393987789
3710750,339,DISTRICT 14 - SAN DIEGO,NAS NORTH ISLAND & NAB CORONADO,C,C,D3,TD,C1,1663,5367,1/16/2020,Bin B,3.22089224921952
4010081,428,DISTRICT 06 - SANTA BARBARA,WOODLANDS DEVELOPMENT,C,C,D2,TD,SC,1137,2876,12/17/2018,Bin B,3.05576046468773
3610023,418,DISTRICT 13 - SAN BERNARDINO,GREEN VALLEY MWC,C,C,D1,TD,C1,1169,350,5/2/2017,Bin B,3.06781451116184
3610850,300,DISTRICT 13 - SAN BERNARDINO,CALIFORNIA INSTITUTION FOR MEN,C,C,D3,T4,C1,1912,10667,11/15/2018,Bin B,3.28148788794008
1510024,187,DISTRICT 12 - VISALIA,GREENFIELD COUNTY WD,C,C,D3,T2,DAVCL,3255,10444,11/25/2019,Bin B,3.51255099290421
1910159,426,DISTRICT 07 - HOLLYWOOD,TRACT 180 MUTUAL WATER CO.,C,C,D3,TD,DAVCL,1149,14000,11/16/2016,Bin B,3.0603200286882903
3410030,437,DISTRICT 09 - SACRAMENTO,"FOLSOM, CITY OF - ASHLAND",C,C,D2,There are no treatment plants,C1,1072,3538,11/13/2018,Bin B,3.0301947853567497
1910218,291,DISTRICT 07 - HOLLYWOOD,LA HABRA HEIGHTS CWD,C,C,D2,TD,C1,1998,5459,7/12/2017,Bin B,3.30059548388996
4210017,239,DISTRICT 06 - SANTA BARBARA,VANDENBERG VILLAGE COMM. SERV. DIST.,C,C,D2,T1,C1,2556,7376,12/20/2019,Bin B,3.40756084948636
3410002,194,DISTRICT 09 - SACRAMENTO,SCWA - ARDEN PARK VISTA,C,C,D2,T2,C1,3053,10035,7/24/2019,Bin B,3.4847268042986603
4310021,276,DISTRICT 17 - SANTA CLARA,PURISSIMA HILLS WATER DISTRICT,C,C,D2,There are no treatment plants,C1,2132,6190,5/24/2018,Bin B,3.3287872003545296
410004,266,DISTRICT 21 - VALLEY,CITY OF GRIDLEY,C,C,D2,T1,C1,2239,6659,1/23/2019,Bin B,3.35005409357903
3710700,352,DISTRICT 08 - SANTA ANA,CAMP PENDLETON (NORTH),C,C,D4,T2,C1,1609,26355,12/10/2018,Bin B,3.2065560440990297
1910103,333,DISTRICT 16 - CENTRAL,PALM RANCH IRRIGATION DIST.,C,C,D2,T2,C1,1686,5570,4/19/2019,Bin B,3.22685757028872
2010010,296,DISTRICT 11 - MERCED,MADERA VALLEY WATER COMPANY,C,C,D2,There are no treatment plants,DAVCL,1931,6372,12/14/2017,Bin B,3.28578227377939
4910004,230,DISTRICT 18 - SONOMA,SWEETWATER SPRINGS CWD - GUERNEVILLE,C,C,D2,T2,DAVCL,2676,6000,4/26/2017,Bin B,3.4274861090957898
2010007,445,DISTRICT 11 - MERCED,CAL AM - OAKHURST,C,C,D3,T3,DAVCL,1045,3439,12/7/2016,Bin B,3.01911629044707
1710001,285,DISTRICT 03 - MENDOCINO,CLEARLAKE OAKS COUNTY WATER DISTRICT,C,C,D3,T3,DAVCL,2035,2359,8/15/2018,Bin B,3.3085644135612404
3410045,416,DISTRICT 09 - SACRAMENTO,CALAM - ARDEN,C,C,D2,T1,C1,1178,3888,6/18/2020,Bin B,3.07114529045108
1910195,337,DISTRICT 15 - METROPOLITAN,GSWC - HOLLYDALE,C,C,D2,T2,C1,1667,7706,6/23/2020,Bin B,3.2219355998280097
1510009,429,DISTRICT 19 - TEHACHAPI,ERSKINE CREEK WC,C,C,D2,TD,C1,1136,2500,12/6/2019,Bin B,3.055378331375
4010016,221,DISTRICT 06 - SANTA BARBARA,LOS OSOS COMMUNITY SERVICES DISTRICT,C,C,D2,T2,C1,2765,7086,12/13/2019,Bin B,3.44169513564072
1710015,247,DISTRICT 03 - MENDOCINO,HIDDEN VALLEY LAKE CSD,C,C,D2,T2,C1,2487,8207,5/31/2017,Bin B,3.39567578526994
4710008,314,DISTRICT 01 - KLAMATH,"MT. SHASTA, CITY OF",C,C,D2,There are no treatment plants,DAVCL,1841,3642,7/22/2018,Bin B,3.2650537885040096
5610008,340,DISTRICT 06 - SANTA BARBARA,PLEASANT VALLEY MUTUAL WATER CO,C,C,D2,T1,C1,1659,5000,7/2/2018,Bin B,3.21984638602436
1910185,387,DISTRICT 16 - CENTRAL,LOS ANGELES CWWD 36-VAL VERDE,C,C,D3,There are no treatment plants,C1,1349,5173,10/1/2018,Bin B,3.1300119496719
4210020,245,DISTRICT 06 - SANTA BARBARA,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,C,C,D2,TD,C1,2497,6737,10/24/2018,Bin B,3.39741854235135
1910149,192,DISTRICT 07 - HOLLYWOOD,"SIGNAL HILL - CITY, WATER DEPT.",C,C,D4,T2,C1,3062,11673,11/28/2018,Bin B,3.4860051863622403
3610047,222,DISTRICT 13 - SAN BERNARDINO,GOLDEN STATE WATER CO - WRIGHTWOOD,C,C,D3,T1,C1,2761,4424,2/22/2018,Bin B,3.4410664066392602
5410001,406,DISTRICT 24 - TULARE,CUTLER PUD,C,C,D2,TD,DAVCL,1218,6200,8/1/2019,Bin B,3.08564728829686
2410006,257,DISTRICT 11 - MERCED,DELHI CWD,C,C,D2,TD,DAVCL,2355,7784,11/15/2018,Bin B,3.37199091146491
3410007,321,DISTRICT 09 - SACRAMENTO,DEL PASO MANOR COUNTY WATER DI,C,C,D2,T2,C1,1795,4520,12/4/2019,Bin B,3.25406445291434
5610005,400,DISTRICT 06 - SANTA BARBARA,MEINERS OAKS CWD,C,C,D2,T2,C1,1248,4200,2/14/2018,Bin B,3.0962145853464103
3810700,413,DISTRICT 04 - SAN FRANCISCO,PRESIDIO OF SAN FRANCISCO,C,C,D2,T3,C1,1191,3500,6/19/2018,Bin B,3.07591176148278
5410021,362,DISTRICT 24 - TULARE,EARLIMART PUD,C,C,D2,TD,DAVCL,1545,8800,8/3/2020,Bin B,3.18892848376085
310003,326,DISTRICT 10 - STOCKTON,"AWA, TANNER",C,C,D3,T3,C1,1741,4943,2/20/2020,Bin B,3.2407987711173303
