"","ï..PWSID","Water.System.Name","Fee.Code","Population","Service.Connections","CES.3.0.Score","Median_12month_HH_Income","Median_rent_pct_Income","tag","logService.Connections","Median_12month_HH_Income2","fee.code"
"93","CA4810025","SID - PLEASANT HILLS RANCH","SC",73,22,22.74," $113,542.00 ",43.2,"Bin A",1.34242268082221,113542,4
"94","CA5800803","LOMA RICA WATER COMPANY","SC",200,70,18.1," $83,194.00 ",43.2,"Bin A",1.84509804001426,83194,4
"95","CA5800824","COUNTRY VILLAGE MOBILE HOME PARK","SC",50,45,18.1," $83,194.00 ",43.2,"Bin A",1.65321251377534,83194,4
"96","CA4900721","COLONIAL PARK","SC",342,195,16.61," $72,119.00 ",43.2,"Bin A",2.29003461136252,72119,4
"97","CA4900720","MOBILE HOME ESTATES","SC",210,151,16.61," $72,119.00 ",43.2,"Bin A",2.17897694729317,72119,4
"98","CA4900905","MARK WEST MEADOWS MUTUAL WATER","SC",73,27,16.61," $72,119.00 ",43.2,"Bin A",1.43136376415899,72119,4
"99","CA5800863","FELLOWSHIP OF FRIENDS","SC",325,15,17.81," $81,987.12 ",43.2,"Bin A",1.17609125905568,81987.12,4
"100","CA5810006","NORTH YUBA WATER DISTRICT","DAVCS",2591,784,11.46," $55,434.84 ",43.12,"Bin A",2.89431606268444,55434.84,3
"101","CA5800924","CAMPTONVILLE COMMUNITY SERV DIST","SC",180,85,9.06," $45,434.00 ",43.1,"Bin A",1.92941892571429,45434,4
"102","CA5800850","REBEL RIDGE VILLAGE","SC",60,42,9.06," $45,434.00 ",43.1,"Bin A",1.6232492903979,45434,4
"103","CA5800827","WHISPERING PINES MOBILE HOME PARK","SC",25,19,9.06," $45,434.00 ",43.1,"Bin A",1.27875360095283,45434,4
"104","CA3110001","NORTH TAHOE PUD - MAIN","C1",5300,3261,10.46," $50,475.71 ",42.92,"Bin B",3.51335079880596,50475.71,1
"105","CA3301990","AMEZCUA - GARCIA WATER","SC",316,113,36.08," $28,395.00 ",42.9,"Bin A",2.05307844348342,28395,4
"106","CA3301717","VALLEY VIEW TRAILER PARK","SC",135,37,36.08," $28,395.00 ",42.9,"Bin A",1.56820172406699,28395,4
"107","CA3301276","THERMAL MUTUAL WATER COMPANY","SC",100,36,36.08," $28,395.00 ",42.9,"Bin A",1.55630250076729,28395,4
"108","CA3301209","DESERT VIEW TRAILER PARK","SC",60,22,36.08," $28,395.00 ",42.9,"Bin A",1.34242268082221,28395,4
"109","CA5601137","RINCON WATER & ROAD WORKS","SC",25,27,29.45," $54,565.00 ",42.9,"Bin A",1.43136376415899,54565,4
"110","CA1210018","TRINIDAD, CITY OF","SC",1000,325,13.03," $48,454.00 ",42.9,"Bin A",2.51188336097887,48454,4
"111","CA1210024","WESTHAVEN C.S.D.","DAVCS",490,226,13.03," $48,454.00 ",42.9,"Bin A",2.3541084391474,48454,3
"112","CA1200701","ORICK C.S.D.","DAVCS",450,141,13.03," $48,454.00 ",42.9,"Bin A",2.14921911265538,48454,3
"113","CA1200591","BIG LAGOON PARK WATER CO.","SC",70,76,13.03," $48,454.00 ",42.9,"Bin A",1.88081359228079,48454,4
"114","CA1200706","TRINIDAD EXTENDED STAY RV","SC",130,72,13.03," $48,454.00 ",42.9,"Bin A",1.85733249643127,48454,4
"115","CA1200592","BIG LAGOON CSD","SC",109,40,13.03," $48,454.00 ",42.9,"Bin A",1.60205999132796,48454,4
"116","CA1200643","BEACH CREEK MOBILE HOME PARK","DAVCS",67,24,13.03," $48,454.00 ",42.9,"Bin A",1.38021124171161,48454,3
"117","CA1200588","SEAWOOD ESTATES MUTUAL WATER COMPANY","SC",60,23,13.03," $48,454.00 ",42.9,"Bin A",1.36172783601759,48454,4
"118","CA1200590","MOONSTONE HEIGHTS MWA","SC",31,14,13.03," $48,454.00 ",42.9,"Bin A",1.14612803567824,48454,4
"119","CA3400172","TOKAY PARK WATER CO","SC",525,190,50.18," $34,414.14 ",42.8,"Bin A",2.27875360095283,34414.14,4
"120","CA1909006","WEST VALLEY COUNTY WATER DISTRICT","SC",726,220,16.89," $59,911.00 ",42.8,"Bin A",2.34242268082221,59911,4
"121","CA1900100","METTLER VALLEY MUTUAL","SC",135,98,16.89," $59,911.00 ",42.8,"Bin A",1.99122607569249,59911,4
"122","CA1900075","BLEICH FLATS MUTUAL","SC",93,34,16.89," $59,911.00 ",42.8,"Bin A",1.53147891704226,59911,4
"123","CA1900961","WINTERHAVEN MOBILE ESTATES","SC",56,20,16.89," $59,911.00 ",42.8,"Bin A",1.30102999566398,59911,4
"124","CA3010082","SERRANO WATER DISTRICT","C1",5895,2254,8.08," $118,655.48 ",42.79,"Bin B",3.35295391171009,118655.48,1
"125","CA4900552","MICHELE MUTUAL WATER COMPANY","SC",170,62,16.07," $74,262.07 ",42.7,"Bin A",1.79239168949825,74262.07,4
"126","CA5400604","MOUNTAIN VIEW DUPLEXES","SC",103,14,42.12," $34,657.00 ",42.7,"Bin A",1.14612803567824,34657,4
"127","CA1910081","LYNWOOD PARK MUTUAL WATER CO.","SC",2300,470,63.22," $35,323.00 ",42.62,"Bin A",2.67209785793572,35323,4
"128","CA3610033","MT BALDY HOMEOWNERS ASSN.","SC",1700,112,18.35," $54,098.12 ",42.61,"Bin A",2.04921802267018,54098.12,4
"129","CA1500459","LAKE OF THE WOODS MOBILE VILLAGE","SC",82,86,9.96," $33,929.00 ",42.6,"Bin A",1.93449845124357,33929,4
"130","CA1510007","FRAZIER PARK PUD","DAVCL",2691,1287,9.97," $33,941.58 ",42.59,"Bin B",3.10957854690439,33941.58,2
"131","CA1510023","LAKE OF THE WOODS MWC","DAVCS",1103,401,9.99," $33,991.33 ",42.58,"Bin A",2.60314437262018,33991.33,3
"132","CA5410006","LINDSAY, CITY OF","DAVCL",14415,3040,36.2," $34,337.21 ",42.55,"Bin B",3.48287358360875,34337.21,2
"133","CA3600308","FREEDOM ACRES THE RESORT","SC",500,100,33.24," $95,845.16 ",42.52,"Bin A",2,95845.16,4
"134","CA5000077","CERES WEST MHP","SC",161,46,44.08," $51,285.00 ",42.5,"Bin A",1.66275783168157,51285,4
"135","CA5010009","KEYES COMMUNITY SERVICES DIST.","DAVCL",5232,1333,44.08," $51,285.77 ",42.5,"Bin B",3.12483014941386,51285.77,2
"136","CA1900693","DESERT PALMS MOBILE HOME PARK","SC",140,1,40.95," $34,283.00 ",42.4,"Bin A",0,34283,4
"137","CA1510013","MCFARLAND, CITY OF","C1",15105,2849,41.42," $34,697.33 ",42.3,"Bin B",3.45469244923948,34697.33,1
"138","CA1900767","GOLDEN VALLEY MUNICIPAL WATER DISTRICT","SC",70,17,17.53," $59,950.47 ",42.21,"Bin A",1.23044892137827,59950.47,4
"139","CA5402038","PATTERSON TRACT CSD","DAVCS",550,153,51.07," $31,117.00 ",42.2,"Bin A",2.1846914308176,31117,3
"140","CA5400881","SUNRISE MUTUAL WATER CO.","SC",80,39,51.07," $31,117.00 ",42.2,"Bin A",1.5910646070265,31117,4
"141","CA3600108","GLEN HELEN WATER SYSTEM","SC",10000,25,36.84," $106,519.00 ",42.2,"Bin A",1.39794000867204,106519,4
"142","CA5400670","TRIPLE R MUTUAL WATER CO","SC",408,154,31.78," $39,955.97 ",42.03,"Bin A",2.18752072083646,39955.97,4
"143","CA3600262","SNOWCREST HEIGHTS IMP ASSOC","SC",600,120,18.23," $54,915.07 ",42.03,"Bin A",2.07918124604762,54915.07,4
"144","CA3301267","FISHERMAN'S RETREAT","SC",52,180,32.48," $78,542.00 ",42,"Bin A",2.25527250510331,78542,4
"145","CA4810013","RURAL NORTH VACAVILLE WATER DISTRICT","SC",1130,398,22.18," $114,091.82 ",41.99,"Bin A",2.59988307207369,114091.82,4
"146","CA3610005","LAKE ARROWHEAD CSD","C1",7183,7862,20," $67,220.55 ",41.94,"Bin D",3.89553303948407,67220.55,1
"147","CA1000075","TRACT 1199 WATER SYSTEM","DAVCS",25,10,49.72," $52,540.00 ",41.9,"Bin A",1,52540,3
"148","CA0409181","BLUE OAK TERRACE MUTUAL","SC",50,23,22.92," $47,639.00 ",41.9,"Bin A",1.36172783601759,47639,4
"149","CA1907028","SPV WATER COMPANY","SC",211,71,7.54," $84,048.00 ",41.9,"Bin A",1.85125834871908,84048,4
"150","CA1900903","SLEEPY VALLEY WATER COMPANY","SC",130,62,7.54," $84,048.00 ",41.9,"Bin A",1.79239168949825,84048,4
"151","CA1907014","NORTH TRAILS MUTUAL WATER COMPANY","SC",100,49,7.54," $84,048.00 ",41.9,"Bin A",1.69019608002851,84048,4
"152","CA1900537","OAK GROVE FAMILY PARK","SC",109,40,7.54," $84,048.00 ",41.9,"Bin A",1.60205999132796,84048,4
"153","CA1900717","CASA DULCE ESTATES","SC",28,16,7.54," $84,048.00 ",41.9,"Bin A",1.20411998265592,84048,4
"154","CA0510003","ANGELS, CITY OF","C1",3836,1847,16.41," $52,739.47 ",41.83,"Bin B",3.26646689544024,52739.47,1
"155","CA4710002","DUNSMUIR, CITY OF","DAVCL",1923,1187,12.97," $34,338.00 ",41.7,"Bin B",3.07445071895459,34338,2
"156","CA4400571","DAVENPORT COUNTY SANITATION","DAVCS",350,108,12.81," $89,481.00 ",41.7,"Bin A",2.03342375548695,89481,3
"157","CA3701408","YUIMA MUNICIPAL WATER DISTRICT","SC",260,107,13.57," $85,029.26 ",41.6,"Bin A",2.02938377768521,85029.26,4
"158","CA3700938","YUIMA MUNICIPAL WATER DISTRICT IDA","SC",400,227,13.58," $85,015.56 ",41.56,"Bin A",2.35602585719312,85015.56,4
"159","CA5601105","FILLMORE IRRIGATION CO","SC",353,171,28.88," $73,352.00 ",41.5,"Bin A",2.23299611039215,73352,4
"160","CA5601106","FILLMORE WEST MOBILE HOME PARK","SC",99,33,28.88," $73,352.00 ",41.5,"Bin A",1.51851393987789,73352,4
"161","CA4900568","VALLEY FORD WATER ASSOCIATION","SC",61,23,3.29," $90,625.00 ",41.5,"Bin A",1.36172783601759,90625,4
"162","CA4810010","SID - GIBSON CANYON","SC",452,137,21.85," $112,461.61 ",41.49,"Bin A",2.13672056715641,112461.61,4
"163","CA4700513","HORNBROOK C.S.D.","DAVCS",280,147,18.71," $31,731.00 ",41.3,"Bin A",2.16731733474818,31731,3
"164","CA1310002","CALEXICO, CITY OF","C1",40357,8431,45.46," $36,084.52 ",41.2,"Bin D",3.9258790893015,36084.52,1
"165","CA4000803","RANCHO SALINAS MBWC","SC",50,20,23.64," $68,102.00 ",41.2,"Bin A",1.30102999566398,68102,4
"166","CA4000631","ALMIRA WATER ASSOCIATION","SC",40,15,23.64," $68,102.00 ",41.2,"Bin A",1.17609125905568,68102,4
"167","CA1910203","LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM","C1",10678,2817,21.73," $46,155.07 ",41.06,"Bin B",3.44978684698577,46155.07,1
"168","CA4000654","RESTHAVEN MOBILE HOME PARK","SC",75,47,23.4," $68,347.41 ",41.05,"Bin A",1.67209785793572,68347.41,4
"169","CA3610002","ALPINE WATER USERS ASSOCIATION","SC",2534,937,18.93," $71,352.37 ",41.05,"Bin A",2.97173959088778,71352.37,4
"170","CA3110024","PLACER CWA - ALTA","SC",875,266,11.77," $64,554.00 ",41,"Bin A",2.42488163663107,64554,4
"171","CA3100041","ALPINE MEADOWS PROPERTY OWNERS ASSO","SC",250,129,11.77," $64,554.00 ",41,"Bin A",2.11058971029925,64554,4
"172","CA3100058","DUTCH FLAT MUTUAL","SC",350,101,11.77," $64,554.00 ",41,"Bin A",2.00432137378264,64554,4
"173","CA3103310","EMIGRANT GAP MUTUAL WATER CO.","SC",125,43,11.77," $64,554.00 ",41,"Bin A",1.63346845557959,64554,4
"174","CA3110124","PLACER CWA - MONTE VISTA","SC",56,18,11.77," $64,554.00 ",41,"Bin A",1.25527250510331,64554,4
"175","CA4910003","PENNGROVE WATER COMPANY (PUC)","SC",1706,517,13.61," $83,382.06 ",41,"Bin A",2.71349054309394,83382.06,4
"176","CA4900533","MORTON'S WARM SPRINGS / SONOMA SPRINGS","SC",59,21,6.38," $75,794.06 ",40.81,"Bin A",1.32221929473392,75794.06,4
"177","CA4900561","WILLOWSIDE MUTUAL WATER COMPANY","SC",350,160,25.58," $96,362.00 ",40.8,"Bin A",2.20411998265592,96362,4
"178","CA4900553","PARK ROYAL MUTUAL WATER COMPANY","SC",75,27,25.58," $96,362.00 ",40.8,"Bin A",1.43136376415899,96362,4
"179","CA0707615","DOUBLETREE RANCH WATER SYSTEM","SC",49,18,4.04," $190,635.00 ",40.8,"Bin A",1.25527250510331,190635,4
"180","CA3610082","SAN ANTONIO CANYON MSC","SC",125,64,17.95," $56,783.53 ",40.7,"Bin A",1.80617997398389,56783.53,4
"181","CA1310013","SEELEY CWD","DAVCS",2124,449,48.09," $34,875.00 ",40.6,"Bin A",2.65224634100332,34875,3
"182","CA1310700","NAF EL CENTRO","SC",1022,386,48.09," $34,875.00 ",40.6,"Bin A",2.58658730467176,34875,4
"183","CA1300575","DATE GARDENS MOBILE HOME PARK","SC",101,72,48.09," $34,875.00 ",40.6,"Bin A",1.85733249643127,34875,4
"184","CA1300620","RIO BEND RV GOLF RESORT & STORM CROSSING","SC",500,68,48.09," $34,875.00 ",40.6,"Bin A",1.83250891270624,34875,4
"185","CA5200508","RIO VISTA MOBILE HOME PARK","SC",543,195,25.64," $38,474.00 ",40.6,"Bin A",2.29003461136252,38474,4
"186","CA5200012","VISTA GRANDE WATER SYSTEM","SC",400,141,25.64," $38,474.00 ",40.6,"Bin A",2.14921911265538,38474,4
"187","CA5200510","RIVER RANCH MOBILE HOME PARK","SC",305,109,25.64," $38,474.00 ",40.6,"Bin A",2.03742649794062,38474,4
"188","CA5200007","HOWELL'S LAKESIDE WATER CO.","SC",75,55,25.64," $38,474.00 ",40.6,"Bin A",1.74036268949424,38474,4
"189","CA5200545","MODERN VILLAGE MWC","SC",85,34,25.64," $38,474.00 ",40.6,"Bin A",1.53147891704226,38474,4
"190","CA5200008","BREESE SUBDIVISION 2","SC",75,30,25.64," $38,474.00 ",40.6,"Bin A",1.47712125471966,38474,4
"191","CA5200547","GATEWAY MOBILE HOME PARK","SC",75,30,25.64," $38,474.00 ",40.6,"Bin A",1.47712125471966,38474,4
"192","CA5200546","ANTELOPE-HOMEWOOD MHP","SC",140,24,25.64," $38,474.00 ",40.6,"Bin A",1.38021124171161,38474,4
