PWSID,requested,responded,voluntary,tag,Service_Connections,Population,Fee_Code,Regulating_Agency,Water_System_Name,bill_freq,bill_freq_other,submetered_YN,expense_2019_Apr,expense_2019_May,expense_2019_Jun,expense_2019_Jul,expense_2019_Aug,expense_2019_Sep,expense_2019_Oct,expense_2019_Total,revenue_2019_Apr,revenue_2019_May,revenue_2019_Jun,revenue_2019_Jul,revenue_2019_Aug,revenue_2019_Sep,revenue_2019_Oct,revenue_2019_Total,expense_2020_Apr,expense_2020_May,expense_2020_Jun,expense_2020_Jul,expense_2020_Aug,expense_2020_Sep,expense_2020_Oct,expense_2020_Total,revenue_2020_Apr,revenue_2020_May,revenue_2020_Jun,revenue_2020_Jul,revenue_2020_Aug,revenue_2020_Sep,revenue_2020_Oct,revenue_2020_Total,comments_exp_rev,cash_reserve_restricted,cash_reserve_unrestricted,cash_reserve_total,months_before_assist,loans_YN,delinquent_num_acc,delinquent_amount_dollars,comments_cash_reserves,filename
CA1510031,n,NA,not.requested,NA,46412,149796,C1,DISTRICT 12 - VISALIA,"BAKERSFIELD, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910039,n,NA,not.requested,NA,46374,260500,C1,DISTRICT 22 - ANGELES,SAN GABRIEL VALLEY WATER CO.-EL MONTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3610041,n,NA,not.requested,NA,46323,229900,C1,DISTRICT 13 - SAN BERNARDINO,SAN GABRIEL VALLEY WC - FONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010038,n,NA,not.requested,NA,44960,338247,C1,DISTRICT 08 - SANTA ANA,CITY OF SANTA ANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5410016,n,NA,not.requested,NA,44864,141165,C1,DISTRICT 12 - VISALIA,CWS - VISALIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3310012,n,NA,not.requested,NA,44836,139656,C1,DISTRICT 20 - RIVERSIDE,ELSINORE VALLEY MWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3710014,n,NA,not.requested,NA,44071,177362,C1,DISTRICT 08 - SANTA ANA,"OCEANSIDE, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3110008,n,NA,not.requested,NA,43822,131057,C1,DISTRICT 02 - LASSEN,CITY OF ROSEVILLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3310038,n,NA,not.requested,NA,43663,144088,C1,DISTRICT 20 - RIVERSIDE,RANCHO CALIFORNIA WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3910001,n,NA,not.requested,NA,43336,172105,C1,DISTRICT 10 - STOCKTON,CALIFORNIA WATER SERVICE - STOCKTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3310037,n,NA,not.requested,NA,43180,172836,C1,DISTRICT 20 - RIVERSIDE,"CORONA, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3610039,n,NA,not.requested,NA,42915,204870,DAVCL,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO CITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0910001,n,NA,not.requested,NA,41536,127764,C1,DISTRICT 09 - SACRAMENTO,EL DORADO ID - MAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5610007,n,NA,not.requested,NA,40948,209877,C1,DISTRICT 06 - SANTA BARBARA,OXNARD WATER DEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910205,n,NA,not.requested,NA,40431,171182,C1,DISTRICT 07 - HOLLYWOOD,SUBURBAN WATER SYSTEMS-SAN JOSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2710004,n,NA,not.requested,NA,37428,95032,C1,DISTRICT 05 - MONTEREY,CAL AM WATER COMPANY - MONTEREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4810007,n,NA,not.requested,NA,36558,118470,C1,DISTRICT 04 - SAN FRANCISCO,CITY OF VALLEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3610034,n,NA,not.requested,NA,36514,181107,C1,DISTRICT 13 - SAN BERNARDINO,ONTARIO MUNICIPAL UTILITIES COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910124,n,NA,not.requested,NA,36448,168651,C1,DISTRICT 15 - METROPOLITAN,"PASADENA-CITY, WATER DEPT.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010027,n,NA,not.requested,NA,35417,140094,C1,DISTRICT 08 - SANTA ANA,CITY OF ORANGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3610052,n,NA,not.requested,NA,34943,122603,C1,DISTRICT 13 - SAN BERNARDINO,VICTORVILLE WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910043,n,NA,not.requested,NA,34318,205331,C1,DISTRICT 15 - METROPOLITAN,"GLENDALE-CITY, WATER DEPT.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0110006,n,NA,not.requested,NA,34205,151600,C1,DISTRICT 04 - SAN FRANCISCO,CITY OF HAYWARD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010062,n,NA,not.requested,NA,33692,174226,C1,DISTRICT 08 - SANTA ANA,CITY OF GARDEN GROVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3710025,n,NA,not.requested,NA,33236,197134,C1,DISTRICT 14 - SAN DIEGO,SWEETWATER AUTHORITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3310021,n,NA,not.requested,NA,33201,137305,C1,DISTRICT 20 - RIVERSIDE,JURUPA COMMUNITY SD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910033,n,NA,not.requested,NA,32937,143017,C1,DISTRICT 22 - ANGELES,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1010003,n,NA,not.requested,NA,32571,114650,C1,DISTRICT 12 - VISALIA,CITY OF CLOVIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0710001,n,NA,not.requested,NA,31810,113061,C1,DISTRICT 04 - SAN FRANCISCO,CITY OF ANTIOCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910017,n,NA,not.requested,NA,31754,129744,C1,DISTRICT 22 - ANGELES,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4810003,n,NA,not.requested,NA,30930,112140,C1,DISTRICT 04 - SAN FRANCISCO,CITY OF FAIRFIELD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010010,n,NA,not.requested,NA,30361,138632,C1,DISTRICT 08 - SANTA ANA,CITY OF FULLERTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910240,n,NA,not.requested,NA,30184,99094,C1,DISTRICT 22 - ANGELES,SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910126,n,NA,not.requested,NA,30041,152361,C1,DISTRICT 15 - METROPOLITAN,"POMONA - CITY, WATER DEPT.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4510005,n,NA,not.requested,NA,29747,87548,DAVCL,DISTRICT 02 - LASSEN,CITY OF REDDING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
