"","Regulating Agency","Water System No.","Water System Name","Fed Type","State Type","DS Class","Max TP Class","Fee Code","Service Connections","Last SNSV","completed","PWSID","Population","tag"
"35","DISTRICT 12 - VISALIA",5410016,"CWS - VISALIA","C","C","D4","T2","C1",44864,2019-11-01,"n",NA,141165,NA
"36","DISTRICT 20 - RIVERSIDE",3310012,"ELSINORE VALLEY MWD","C","C","D5","Missing treatment classification in SDWIS","C1",44836,2015-06-05,"n",NA,139656,NA
"37","DISTRICT 08 - SANTA ANA",3710014,"OCEANSIDE, CITY OF","C","C","D5","T5","C1",44071,2020-01-23,"n",NA,177362,NA
"38","DISTRICT 02 - LASSEN",3110008,"CITY OF ROSEVILLE","C","C","D5","T5","C1",43822,2017-05-02,"n",NA,131057,NA
"39","DISTRICT 20 - RIVERSIDE",3310038,"RANCHO CALIFORNIA WATER DISTRICT","C","C","D5","Missing treatment classification in SDWIS","C1",43663,2019-02-12,"n",NA,144088,NA
"40","DISTRICT 10 - STOCKTON",3910001,"CALIFORNIA WATER SERVICE - STOCKTON","C","C","D4","T2","C1",43336,2019-04-05,"n",NA,172105,NA
"41","DISTRICT 20 - RIVERSIDE",3310037,"CORONA, CITY OF","C","C","D5","T5","C1",43180,2018-08-22,"n",NA,172836,NA
"42","DISTRICT 13 - SAN BERNARDINO",3610039,"SAN BERNARDINO CITY","C","C","D5","T5","DAVCL",42915,2017-02-21,"n",NA,204870,NA
"43","DISTRICT 09 - SACRAMENTO",910001,"EL DORADO ID - MAIN","C","C","D5","T5","C1",41536,2019-12-12,"n",NA,127764,NA
"44","DISTRICT 06 - SANTA BARBARA",5610007,"OXNARD WATER DEPT","C","C","D4","T4","C1",40948,2018-06-20,"n",NA,209877,NA
"45","DISTRICT 07 - HOLLYWOOD",1910205,"SUBURBAN WATER SYSTEMS-SAN JOSE","C","C","D5","T4","C1",40431,2018-04-19,"n",NA,171182,NA
"46","DISTRICT 05 - MONTEREY",2710004,"CAL AM WATER COMPANY - MONTEREY","C","C","D5","T3","C1",37428,2019-01-09,"n",NA,95032,NA
"47","DISTRICT 04 - SAN FRANCISCO",4810007,"CITY OF VALLEJO","C","C","D5","T5","C1",36558,2017-10-05,"n",NA,118470,NA
"48","DISTRICT 13 - SAN BERNARDINO",3610034,"ONTARIO MUNICIPAL UTILITIES COMPANY","C","C","D5","T3","C1",36514,2019-10-17,"n",NA,181107,NA
"49","DISTRICT 15 - METROPOLITAN",1910124,"PASADENA-CITY, WATER DEPT.","C","C","D5","T4","C1",36448,2019-08-27,"n",NA,168651,NA
"50","DISTRICT 08 - SANTA ANA",3010027,"CITY OF ORANGE","C","C","D5","TD","C1",35417,2018-05-08,"n",NA,140094,NA
"51","DISTRICT 13 - SAN BERNARDINO",3610052,"VICTORVILLE WATER DISTRICT","C","C","D5","T3","C1",34943,2019-05-28,"n",NA,122603,NA
"52","DISTRICT 15 - METROPOLITAN",1910043,"GLENDALE-CITY, WATER DEPT.","C","C","D5","T5","C1",34318,2019-10-31,"n",NA,205331,NA
"53","DISTRICT 04 - SAN FRANCISCO",110006,"CITY OF HAYWARD","C","C","D5","There are no treatment plants","C1",34205,2019-07-24,"n",NA,151600,NA
"54","DISTRICT 08 - SANTA ANA",3010062,"CITY OF GARDEN GROVE","C","C","D4","T3","C1",33692,2019-02-21,"n",NA,174226,NA
"55","DISTRICT 14 - SAN DIEGO",3710025,"SWEETWATER AUTHORITY","C","C","D5","T5","C1",33236,2011-02-15,"n",NA,197134,NA
"56","DISTRICT 20 - RIVERSIDE",3310021,"JURUPA COMMUNITY SD","C","C","D5","Missing treatment classification in SDWIS","C1",33201,2018-11-21,"n",NA,137305,NA
"57","DISTRICT 22 - ANGELES",1910033,"CALIFORNIA WATER SERVICE CO. - DOMINGUEZ","C","C","D5","T2","C1",32937,2015-11-03,"n",NA,143017,NA
"58","DISTRICT 12 - VISALIA",1010003,"CITY OF CLOVIS","C","C","D4","T4","C1",32571,2020-07-16,"n",NA,114650,NA
"59","DISTRICT 04 - SAN FRANCISCO",710001,"CITY OF ANTIOCH","C","C","D4","T5","C1",31810,2018-04-18,"n",NA,113061,NA
"60","DISTRICT 22 - ANGELES",1910017,"SANTA CLARITA VALLEY W.A.-SANTA CLARITA","C","C","D5","T2","C1",31754,2016-07-15,"n",NA,129744,NA
"61","DISTRICT 04 - SAN FRANCISCO",4810003,"CITY OF FAIRFIELD","C","C","D4","T5","C1",30930,2019-10-17,"n",NA,112140,NA
"62","DISTRICT 08 - SANTA ANA",3010010,"CITY OF FULLERTON","C","C","D5","T2","C1",30361,2018-09-11,"n",NA,138632,NA
"63","DISTRICT 22 - ANGELES",1910240,"SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS","C","C","D5","T1","C1",30184,2017-12-15,"n",NA,99094,NA
"64","DISTRICT 15 - METROPOLITAN",1910126,"POMONA - CITY, WATER DEPT.","C","C","D5","T5","C1",30041,2019-12-03,"n",NA,152361,NA
"65","DISTRICT 02 - LASSEN",4510005,"CITY OF REDDING","C","C","D5","T5","DAVCL",29747,2018-04-25,"n",NA,87548,NA
"66","DISTRICT 21 - VALLEY",410002,"CAL-WATER SERVICE CO.-CHICO","C","C","D5","T2","C1",29283,2018-07-18,"n",NA,104908,NA
"67","DISTRICT 17 - SANTA CLARA",4310014,"CITY OF SUNNYVALE","C","C","D4","There are no treatment plants","C1",29210,2017-09-14,"n",NA,147055,NA
"68","DISTRICT 06 - SANTA BARBARA",5610017,"VENTURA WATER DEPARTMENT","C","C","D5","T4","C1",29055,2017-06-16,"n",NA,113478,NA
"69","DISTRICT 04 - SAN FRANCISCO",4810008,"CITY OF VACAVILLE","C","C","D5","T4","C1",28218,2019-05-29,"n",NA,96735,NA
"70","DISTRICT 14 - SAN DIEGO",3710005,"CARLSBAD MWD","C","C","D5","T2","C1",28079,2017-04-10,"n",NA,88422,NA
"71","DISTRICT 08 - SANTA ANA",3010022,"GOLDEN STATE WC - WEST ORANGE COUNTY","C","C","D5","T1","C1",27643,2017-10-17,"n",NA,114284,NA
"72","DISTRICT 14 - SAN DIEGO",3710027,"VISTA IRRIGATION DISTRICT","C","C","D5","TD","C1",27489,2017-06-27,"n",NA,135204,NA
"73","DISTRICT 06 - SANTA BARBARA",4210010,"CITY OF SANTA BARBARA WATER DEPARTMENT","C","C","D5","T5","C1",27107,2019-11-05,"n",NA,94929,NA
"74","DISTRICT 16 - CENTRAL",1910234,"WALNUT VALLEY WATER DISTRICT","C","C","D5","There are no treatment plants","C1",27089,2018-10-22,"n",NA,105495,NA
"75","DISTRICT 13 - SAN BERNARDINO",3610024,"HESPERIA WD","C","C","D5","TD","C1",26879,2019-06-25,"n",NA,94133,NA
"76","DISTRICT 08 - SANTA ANA",3010023,"CITY OF NEWPORT BEACH","C","C","D5","TD","C1",26817,2018-04-26,"n",NA,67134,NA
"77","DISTRICT 10 - STOCKTON",3910004,"LODI, CITY OF","C","C","D4","T4","C1",26688,2019-03-28,"n",NA,68272,NA
"78","DISTRICT 22 - ANGELES",1910134,"CALIFORNIA WATER SERVICE CO. - HERM/REDO","C","C","D5","T1","C1",26669,2017-12-01,"n",NA,96314,NA
"79","DISTRICT 14 - SAN DIEGO",3710006,"ESCONDIDO, CITY OF","C","C","D5","T5","C1",26604,2016-12-12,"n",NA,137941,NA
"80","DISTRICT 07 - HOLLYWOOD",1910102,"PALMDALE WATER DIST.","C","C","D5","T5","C1",26546,2019-05-01,"n",NA,115525,NA
"81","DISTRICT 15 - METROPOLITAN",1910213,"TORRANCE-CITY, WATER DEPT.","C","C","D5","T2","C1",26226,2019-06-13,"n",NA,108217,NA
"82","DISTRICT 02 - LASSEN",3110025,"PLACER CWA - FOOTHILL","C","C","D5","T5","C1",26124,2018-08-15,"n",NA,83546,NA
"83","DISTRICT 22 - ANGELES",1910036,"CALIFORNIA WATER SERVICE CO. - ELA","C","C","D5","T3","C1",26115,2017-12-05,"n",NA,151300,NA
"84","DISTRICT 17 - SANTA CLARA",4310012,"CITY OF SANTA CLARA","C","C","D5","There are no treatment plants","C1",25889,2018-08-21,"n",NA,117200,NA
"85","DISTRICT 07 - HOLLYWOOD",1910179,"BURBANK-CITY, WATER DEPT.","C","C","D5","T4","C1",25758,2019-08-22,"n",NA,107149,NA
"86","DISTRICT 17 - SANTA CLARA",4110008,"CALIFORNIA WATER SERVICE - SAN MATEO","C","C","D4","There are no treatment plants","C1",25459,2018-06-07,"n",NA,107465,NA
"87","DISTRICT 06 - SANTA BARBARA",5610023,"VENTURA WWD NO. 8 - SIMI VALLEY","C","C","D5","T2","C1",25385,2019-05-28,"n",NA,97292,NA
"88","DISTRICT 03 - MENDOCINO",2810003,"NAPA, CITY OF","C","C","D4","T5","C1",25130,2019-11-07,"n",NA,88068,NA
"89","DISTRICT 08 - SANTA ANA",3010037,"YORBA LINDA WATER DISTRICT","C","C","D5","T3","C1",25093,2016-10-11,"n",NA,82807,NA
"90","DISTRICT 04 - SAN FRANCISCO",110009,"DUBLIN SAN RAMON SERVICES DISTRICT","C","C","D5","There are no treatment plants","C1",24923,2018-09-19,"n",NA,86895,NA
"91","DISTRICT 10 - STOCKTON",3910011,"TRACY, CITY OF","C","C","D4","T5","C1",24905,2019-10-16,"n",NA,92800,NA
"92","DISTRICT 05 - MONTEREY",4410010,"SANTA CRUZ WATER DEPARTMENT","C","C","D5","T5","C1",24421,2019-09-27,"n",NA,97767,NA
"93","DISTRICT 22 - ANGELES",1910104,"CALIFORNIA WATER SERVICE CO. - PALOS VER","C","C","D5","There are no treatment plants","C1",24059,2017-12-15,"n",NA,70271,NA
"94","DISTRICT 08 - SANTA ANA",3010004,"MESA WATER DISTRICT","C","C","D5","T2","C1",24018,2020-08-12,"n",NA,110000,NA
"95","DISTRICT 20 - RIVERSIDE",3310020,"INDIO WATER AUTHORITY","C","C","D5","T2","C1",23765,2020-05-13,"n",NA,78425,NA
"96","DISTRICT 13 - SAN BERNARDINO",3610037,"REDLANDS CITY MUD-WATER DIV","C","C","D5","T5","C1",23694,2017-09-14,"n",NA,71554,NA
"97","DISTRICT 16 - CENTRAL",1910007,"AZUSA LIGHT AND WATER","C","C","D5","T4","C1",23590,2018-11-15,"n",NA,106400,NA
"98","DISTRICT 16 - CENTRAL",1910034,"DOWNEY - CITY, WATER DEPT.","C","C","D4","There are no treatment plants","C1",23555,2018-08-08,"n",NA,112831,NA
"99","DISTRICT 17 - SANTA CLARA",4310020,"CITY OF SAN JOSE - EVG/EDV/COY","C","C","D5","There are no treatment plants","C1",23443,2019-02-26,"n",NA,93300,NA
"100","DISTRICT 05 - MONTEREY",2710010,"CWSC SALINAS","C","C","D4","T2","C1",23312,2018-08-29,"n",NA,106858,NA
"101","DISTRICT 06 - SANTA BARBARA",4210011,"SANTA MARIA WATER DEPARTMENT","C","C","D4","T3","DAVCL",23118,2019-07-16,"n",NA,107356,NA
"102","DISTRICT 14 - SAN DIEGO",3710037,"PADRE DAM MWD","C","C","D5","There are no treatment plants","C1",22986,2018-03-13,"n",NA,90864,NA
"103","DISTRICT 17 - SANTA CLARA",4110022,"CITY OF REDWOOD CITY","C","C","D5","There are no treatment plants","C1",22821,2019-12-04,"n",NA,87023,NA
"104","DISTRICT 20 - RIVERSIDE",3310005,"DESERT WATER AGENCY","C","C","D5","T2","DAVCL",22727,2017-12-07,"n",NA,89232,NA
"105","DISTRICT 10 - STOCKTON",3910005,"MANTECA, CITY OF","C","C","D4","T3","C1",22596,2019-06-11,"n",NA,81664,NA
"106","DISTRICT 14 - SAN DIEGO",3710029,"OLIVENHAIN MWD","C","C","D5","T5","C1",22579,2018-10-26,"n",NA,86478,NA
"107","DISTRICT 17 - SANTA CLARA",4110013,"CITY OF DALY CITY","C","C","D5","T3","C1",22549,2017-09-13,"n",NA,102593,NA
"108","DISTRICT 04 - SAN FRANCISCO",110008,"CITY OF PLEASANTON","C","C","D5","T1","C1",22220,2017-07-19,"n",NA,79201,NA
"109","DISTRICT 13 - SAN BERNARDINO",3610004,"WEST VALLEY WATER DISTRICT","C","C","D5","T4","C1",22034,2017-07-18,"n",NA,83902,NA
"110","DISTRICT 11 - MERCED",2410009,"CITY OF MERCED","C","C","D4","T2","DAVCL",21988,2019-05-14,"n",NA,87110,NA
"111","DISTRICT 14 - SAN DIEGO",3710002,"VALLECITOS WD","C","C","D5","There are no treatment plants","C1",21805,2019-10-03,"n",NA,103233,NA
"112","DISTRICT 13 - SAN BERNARDINO",3610036,"CHINO HILLS, CITY OF","C","C","D5","T2","C1",21465,2015-04-21,"n",NA,84364,NA
"113","DISTRICT 17 - SANTA CLARA",4310022,"GREAT OAKS WC INC","C","C","D4","TD","C1",21303,2018-11-08,"n",NA,103590,NA
"114","DISTRICT 13 - SAN BERNARDINO",3610064,"EAST VALLEY WATER DISTRICT","C","C","D5","T4","C1",21257,2018-06-28,"n",NA,103000,NA
"115","DISTRICT 14 - SAN DIEGO",3710001,"CAL-AM WATER CORONADO","C","C","D4","There are no treatment plants","C1",21187,2016-12-20,"n",NA,95000,NA
"116","DISTRICT 20 - RIVERSIDE",3310049,"WESTERN MWD","C","C","D5","Operator is not required","C1",21137,2018-12-05,"n",NA,85139,NA
"117","DISTRICT 13 - SAN BERNARDINO",3610012,"CHINO, CITY OF","C","C","D5","T3","C1",21126,2017-08-17,"n",NA,73683,NA
"118","DISTRICT 13 - SAN BERNARDINO",3610003,"LIBERTY UTILITIES (AV RANCHOS) CORP.","C","C","D5","TD","C1",20871,2019-08-27,"n",NA,62602,NA
"119","DISTRICT 08 - SANTA ANA",3010064,"CITY OF WESTMINSTER","C","C","D4","TD","C1",20706,2019-06-19,"n",NA,96179,NA
"120","DISTRICT 09 - SACRAMENTO",3410014,"FOLSOM, CITY OF - MAIN","C","C","D4","T5","C1",20643,2018-11-14,"n",NA,68122,NA
"121","DISTRICT 18 - SONOMA",2110003,"NORTH MARIN WATER DISTRICT","C","C","D5","T4","C1",20540,2014-05-29,"n",NA,61500,NA
"122","DISTRICT 06 - SANTA BARBARA",5610040,"CAL AMERICAN WATER CO","C","C","D4","There are no treatment plants","C1",20218,2017-05-18,"n",NA,69828,NA
"123","DISTRICT 18 - SONOMA",4910006,"PETALUMA, CITY OF","C","C","D4","T2","C1",20071,2017-06-01,"n",NA,64251,NA
"124","DISTRICT 07 - HOLLYWOOD",1910239,"LAKEWOOD - CITY, WATER DEPT.","C","C","D5","T2","C1",20041,2017-08-15,"n",NA,62895,NA
"125","DISTRICT 22 - ANGELES",1910225,"LAS VIRGENES MWD","C","C","D5","T4","C1",19955,2017-06-28,"n",NA,75384,NA
"126","DISTRICT 09 - SACRAMENTO",3410006,"CITRUS HEIGHTS WATER DISTRICT","C","C","D4","TD","C1",19878,2019-08-07,"n",NA,66597,NA
"127","DISTRICT 07 - HOLLYWOOD",1910174,"SUBURBAN WATER SYSTEMS-WHITTIER","C","C","D5","TD","C1",19852,2018-08-23,"n",NA,64489,NA
"128","DISTRICT 17 - SANTA CLARA",4310009,"CITY OF PALO ALTO","C","C","D5","TD","C1",19842,2017-10-17,"n",NA,66721,NA
"129","DISTRICT 04 - SAN FRANCISCO",710004,"BRENTWOOD","C","C","D4","TD","C1",19540,2018-06-26,"n",NA,61383,NA
"130","DISTRICT 13 - SAN BERNARDINO",3610050,"UPLAND, CITY OF","C","C","D5","T3","C1",19392,2020-02-27,"n",NA,78564,NA
"131","DISTRICT 20 - RIVERSIDE",3310002,"BEAUMONT CHERRY VALLEY WD","C","C","D4","Operator is not required","C1",19278,2016-08-10,"n",NA,49241,NA
"132","DISTRICT 02 - LASSEN",3110004,"CITY OF LINCOLN","C","C","D4","TD","C1",18974,2017-05-03,"n",NA,48165,NA
"133","DISTRICT 08 - SANTA ANA",3010003,"CITY OF BUENA PARK","C","C","D5","TD","C1",18968,2019-04-02,"n",NA,83884,NA
"134","DISTRICT 24 - TULARE",5410015,"TULARE, CITY OF","C","C","D4","T2","DAVCL",18913,2019-05-09,"n",NA,65982,NA
"135","DISTRICT 17 - SANTA CLARA",4110006,"CALIFORNIA WATER SERVICE - BEAR GULCH","C","C","D5","T3","C1",18836,2019-05-20,"n",NA,58432,NA
"136","DISTRICT 10 - STOCKTON",5010019,"TURLOCK, CITY OF","C","C","D4","There are no treatment plants","C1",18802,2019-11-22,"n",NA,74471,NA
"137","DISTRICT 04 - SAN FRANCISCO",710008,"CITY OF PITTSBURG","C","C","D4","T5","C1",18777,2017-11-09,"n",NA,62500,NA
"138","DISTRICT 21 - VALLEY",5110002,"CITY OF YUBA CITY","C","C","D4","T5","C1",18719,2020-01-14,"n",NA,73202,NA
"139","DISTRICT 17 - SANTA CLARA",4310001,"CWSC LOS ALTOS SUBURBAN","C","C","D5","TD","C1",18308,2019-11-18,"n",NA,70014,NA
"140","DISTRICT 04 - SAN FRANCISCO",110003,"CALIFORNIA WATER SERVICE - LIVERMORE","C","C","D5","T2","C1",18109,2018-07-25,"n",NA,59000,NA
"141","DISTRICT 08 - SANTA ANA",3010036,"CITY OF SAN CLEMENTE","C","C","D4","T2","C1",17545,2016-11-02,"n",NA,51522,NA
"142","DISTRICT 16 - CENTRAL",1910001,"CITY OF ALHAMBRA","C","C","D4","T3","C1",17498,2018-12-18,"n",NA,85396,NA
"143","DISTRICT 17 - SANTA CLARA",4310007,"CITY OF MOUNTAIN VIEW","C","C","D4","T2","C1",17421,2019-11-19,"n",NA,79492,NA
"144","DISTRICT 12 - VISALIA",1610003,"HANFORD, CITY OF","C","C","D4","T2","C1",17296,2019-07-31,"n",NA,17626,NA
"145","DISTRICT 09 - SACRAMENTO",5710001,"CITY OF DAVIS","C","C","D4","T2","C1",17220,2018-08-13,"n",NA,71311,NA
"146","DISTRICT 06 - SANTA BARBARA",5610020,"THOUSAND OAKS WATER DEPT","C","C","D4","There are no treatment plants","C1",17163,2019-05-02,"n",NA,53422,NA
"147","DISTRICT 16 - CENTRAL",1910146,"SANTA MONICA-CITY, WATER DIVISION","C","C","D5","T4","C1",16888,2018-10-31,"n",NA,92306,NA
"148","DISTRICT 08 - SANTA ANA",3010069,"CITY OF FOUNTAIN VALLEY","C","C","D5","T2","C1",16849,2019-01-29,"n",NA,59227,NA
"149","DISTRICT 09 - SACRAMENTO",5710006,"CITY OF WOODLAND","C","C","D4","T1","C1",16753,2020-02-05,"n",NA,60292,NA
"150","DISTRICT 24 - TULARE",5410010,"PORTERVILLE, CITY OF","C","C","D5","TD","C1",16667,2018-11-14,"n",NA,65702,NA
"151","DISTRICT 22 - ANGELES",1910211,"LIBERTY UTILITIES - BELLFLOWER-NORWALK","C","C","D5","T1","C1",16599,2020-01-22,"n",NA,72964,NA
"152","DISTRICT 09 - SACRAMENTO",3410010,"CALAM - SUBURBAN ROSEMONT","C","C","D4","T2","C1",16291,2018-09-27,"n",NA,53781,NA
"153","DISTRICT 06 - SANTA BARBARA",4210004,"GOLETA WATER DISTRICT","C","C","D5","T5","C1",16214,2020-01-09,"n",NA,86721,NA
"154","DISTRICT 17 - SANTA CLARA",4110009,"CALIFORNIA WATER SERVICE-S SAN FRANCISCO","C","C","D5","T2","C1",16146,2019-08-20,"n",NA,62039,NA
"155","DISTRICT 17 - SANTA CLARA",4310005,"CITY OF MILPITAS","C","C","D5","There are no treatment plants","C1",16094,2018-05-09,"n",NA,74865,NA
"156","DISTRICT 07 - HOLLYWOOD",1910142,"GSWC-SAN DIMAS","C","C","D5","T2","C1",16033,2016-08-02,"n",NA,55107,NA
"157","DISTRICT 15 - METROPOLITAN",1910051,"INGLEWOOD- CITY, WATER DEPT.","C","C","D5","T2","DAVCL",15843,2018-02-22,"n",NA,84448,NA
"158","DISTRICT 16 - CENTRAL",1910019,"CERRITOS - CITY, WATER DEPT.","C","C","D5","T2","C1",15756,2018-12-11,"n",NA,49041,NA
"159","DISTRICT 06 - SANTA BARBARA",4010009,"SAN LUIS OBISPO WATER DEPARTMENT","C","C","D4","T5","DAVCL",15607,2018-09-18,"n",NA,45920,NA
"160","DISTRICT 09 - SACRAMENTO",5710003,"CITY OF WEST SACRAMENTO","C","C","D4","T5","C1",15083,2019-11-01,"n",NA,108082,NA
"161","DISTRICT 13 - SAN BERNARDINO",3610044,"BIG BEAR LAKE DWP - BIG BEAR SYSTEM","C","C","D3","T1","DAVCL",14832,2019-11-04,"n",NA,14368,NA
"162","DISTRICT 09 - SACRAMENTO",3410017,"CALAM - PARKWAY","C","C","D3","T3","C1",14784,2019-12-18,"n",NA,48804,NA
"163","DISTRICT 09 - SACRAMENTO",3410015,"GOLDEN STATE WATER CO. - CORDOVA","C","C","D3","T4","C1",14759,2019-03-20,"n",NA,45572,NA
"164","DISTRICT 17 - SANTA CLARA",4310004,"CITY OF GILROY","C","C","D4","T1","C1",14525,2018-08-23,"n",NA,57315,NA
"165","DISTRICT 17 - SANTA CLARA",4310006,"CITY OF MORGAN HILL","C","C","D4","T1","C1",14487,2018-08-22,"n",NA,45742,NA
"166","DISTRICT 05 - MONTEREY",4410011,"WATSONVILLE, CITY OF","C","C","D4","T3","DAVCL",14449,2019-07-09,"n",NA,65966,NA
"167","DISTRICT 22 - ANGELES",1910152,"SOUTH GATE-CITY, WATER DEPT.","C","C","D5","T2","DAVCL",14425,2018-12-11,"n",NA,88654,NA
"168","DISTRICT 09 - SACRAMENTO",3410013,"CALAM - LINCOLN OAKS","C","C","D3","T2","C1",14411,2020-06-18,"n",NA,47577,NA
"169","DISTRICT 05 - MONTEREY",4410017,"SOQUEL CREEK WATER DISTRICT","C","C","D4","T2","C1",14390,2019-05-22,"n",NA,37720,NA
"170","DISTRICT 22 - ANGELES",1910026,"COMPTON-CITY, WATER DEPT.","C","C","D4","TD","DAVCL",14384,2020-02-18,"n",NA,79898,NA
"171","DISTRICT 20 - RIVERSIDE",3310022,"LAKE HEMET MWD","C","C","D5","Operator is not required","DAVCL",14310,2017-11-07,"n",NA,52913,NA
"172","DISTRICT 09 - SACRAMENTO",910002,"SOUTH TAHOE PUD - MAIN","C","C","D4","T2","DAVCL",14168,2019-11-20,"n",NA,121124,NA
"173","DISTRICT 11 - MERCED",2010002,"CITY OF MADERA","C","C","D4","T2","C1",14144,2019-10-23,"n",NA,66225,NA
