STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
17	750.206896551724	839.586206896552	954.620689655173	451.379310344827	297.852508999317	380.84121460396	414.834795929975	214.045678783281	29	2	1	0	2.80877231016559
18	585.78125	672.203125	806.6875	372.0625	115.341011050406	139.14894981944	163.646937809546	109.372300321275	64	2	1	0	3.16737431762822
19	842.666666666667	984.777777777778	1169	557.888888888889	224.729872414763	242.437461708182	266.462369659291	163.768019835949	9	2	1	0	2
20	1003.37931034483	1183.62068965517	1416.68965517241	682.551724137931	181.128167940173	253.628878653957	250.359136024004	163.133626052799	29	2	1	0	2.14068890590541
21	1679	2140	2031	1064	0	0	0	0	1	2	1	0	1
1	371.963636363636	438.036363636364	511.509090909091	218.763636363636	554.34388690614	691.317976742114	800.798370751526	356.54644162089	55	3	1	0	12.9023091184626
2	1634	2437	2655	887	0	0	0	0	1	3	1	0	1
3	1716.9	2202.9	2625.1	1241.5	603.845299932027	698.005186227151	705.358647249752	428.845280958063	10	3	1	0	2.77390055400357
4	2239.54545454545	2999.45454545455	3434.90909090909	1559.72727272727	491.671631155774	700.535266457047	813.766997723563	467.546825682405	11	3	1	0	3.20824766065952
5	3279.66666666667	4612.33333333333	6031.83333333333	3433	461.030202071645	477.832219120508	749.671301428289	640.008723898875	6	3	1	0	2.33439610688813
6	7126.6	12209.4	13176.8	7985.4	10601.5594980173	19178.2036434594	20405.6215332932	13214.9009148764	5	3	1	0	5
7	153.4375	157.666666666667	194.270833333334	67.6041666666667	36.2375598249169	39.7571016702401	38.6419898577398	20.2090223729313	48	3	1	0	2
8	309.866666666667	326.152380952381	397.152380952381	137.219047619048	72.3454299577451	80.7217091885039	103.60658763934	44.5452291434963	105	3	1	0	3.10339245056547
9	616.714285714286	706.485714285714	878.371428571428	355.114285714286	112.245431137984	139.44166550016	172.36341860601	100.606839056477	35	3	1	0	2.20961326481765
10	818.027027027027	932.135135135135	1096.37837837838	400.756756756757	229.277975436566	305.014016826359	359.045344874408	143.767274142413	37	3	1	0	3.51681963570025
11	1386.625	1606.5	1880.625	816.75	171.386875044444	194.789409523465	247.946235981714	135.377394946497	8	3	1	0	2
1	593.625	618.3125	837.750000000002	262.9375	265.258216220866	268.311444219994	370.998725347116	107.614015920549	16	4	1	0	2
2	1120.21875	1376.65625	1730.1875	650.53125	366.790632691861	478.508775232685	555.451340858693	304.661310996551	32	4	1	0	3.53226026853846
3	1395.81818181818	1827.81818181818	2120.45454545455	704.272727272727	443.460419552664	843.952916728339	851.21029614436	395.370072758379	11	4	1	0	2
4	896.653846153846	1079.84615384615	1323.19230769231	450.923076923077	378.3676668683	525.97483321687	585.594604406546	230.19884933832	26	4	1	0	2.88136079779081
5	2871.53846153846	4088.92307692308	4586.42307692308	1979.96153846154	779.739155250083	1441.81767901153	1350.96505608326	635.980259610884	26	4	1	0	6.13209372236373
6	27535.6666666667	56460.3333333333	48479.3333333333	28300.3333333333	21682.6336397486	53628.4070515701	42857.4416512336	27291.7459724039	3	4	1	0	3
7	264.421052631579	269.456140350877	344.982456140351	116.719298245614	110.518185502678	119.586596000246	148.583902405428	57.6308587309049	57	4	1	0	2
1	73.6279069767442	66.2906976744186	83.2674418604652	43.6627906976745	131.620125040891	127.217051590993	146.421230358813	63.0021331738157	86	5	1	0	5.33360117617007
2	343.225	339.375	385.375	180.775	348.051060068684	386.10240074944	429.090017435318	203.155633950244	40	5	1	0	6.8173127283908
3	862.5	1053.66666666667	1138.5	466.833333333333	885.575636709442	1240.94509234785	1295.32989684739	472.791106679848	6	5	1	0	2.83007333912402
4	40	30	52	38	0	0	0	0	1	5	1	0	1
5	220.916666666667	250.722222222222	282.166666666667	128.472222222222	207.886147722213	276.044891645085	263.944603636042	112.801511721151	36	5	1	0	3.90079928372024
6	107.375	96.5416666666668	121.583333333333	65.875	86.5937591169729	77.1263594541895	90.799781160977	49.3465725258516	24	5	1	0	2
7	396.169811320755	407.264150943396	468.924528301887	204.735849056604	263.664276382033	275.543833026434	295.619342301305	123.789889341203	53	5	1	0	6.72332288527361
8	1420.33333333333	1837	1844.83333333333	934.333333333333	666.684437263154	906.976938332319	924.930072431905	551.940377718061	6	5	1	0	2.10507978749573
9	525.222222222222	482.444444444444	551.222222222222	238.444444444444	387.825061587131	378.740188317682	419.722906683757	154.916917597868	9	5	1	0	2
10	2024.5	2003.5	2479.5	854	23.5	15.5	160.5	35	2	5	1	0	2
11	2308	2631.55555555556	2948.55555555556	1424.22222222222	365.518467385712	383.151728318665	420.69747715425	329.513890937829	9	5	1	0	2
12	3249.81818181818	4309.31818181818	4449.09090909091	2288.22727272727	3082.08420742184	5157.64834376111	4754.5817158022	2760.9383044215	22	5	1	0	22
13	1887.5	2064	2181	1070	846.5	887	987	458	2	5	1	0	2
14	140.344827586207	139.51724137931	173.275862068965	74.103448275862	37.9599435809151	45.8978774934077	59.5817501310281	22.1132665083079	29	5	1	0	2
15	318.835616438356	319.972602739726	377.534246575342	176.301369863014	181.868259703884	215.974667050141	224.504668236992	111.59478172403	73	5	1	0	6.64537749178947
16	737.28125	759.96875	886.90625	399.4375	285.794335554858	377.779106458933	448.745009861801	182.559126409546	32	5	1	0	4.75871713373751
17	944.357142857142	971.678571428571	1077.75	491.571428571429	243.355559448628	257.154492268734	226.717473406917	169.863866791066	28	5	1	0	3.28873042483261
18	1304.53846153846	1390	1622.23076923077	757.384615384615	364.54884982033	319.511228619082	438.42612373846	216.731729724322	13	5	1	0	2.18254620774113
1	324.971014492754	326.536231884058	322.304347826087	135.855072463768	283.460482331765	292.847338952073	290.646962681333	126.98822271402	69	6	1	0	11.7797815351891
2	708.6	778.2	1026.6	507.6	572.691051091249	615.842317480701	842.3235957754	412.650748212093	5	6	1	0	2
3	318.75	319.15	327.65	142.9	128.765387430008	128.529848794939	145.071456530911	85.9142568567639	20	6	1	0	2
4	1661.16666666667	2068.5	2193.33333333333	954.666666666667	575.18414925618	653.183167266273	562.217200515562	378.700207581435	6	6	1	0	2.17810090775246
5	2736.15384615385	3504.69230769231	3660.15384615385	1453.53846153846	951.60990885922	1342.68990976583	1310.85895774511	523.701781754672	13	6	1	0	7.60969928616276
6	1534.66666666667	1816.16666666667	2002.16666666667	884.5	704.694654127272	788.904602738647	880.265379808208	398.724946966368	6	6	1	0	2.60989312598647
7	4568	7071.33333333333	7340.33333333333	4217.5	3193.38513571414	6057.55912178238	5878.63092172735	4192.481335677	6	6	1	0	6
8	747.971428571429	767.428571428571	784.485714285714	338.885714285714	340.803589261491	362.304394747724	363.132391335706	172.767869089044	35	6	1	0	7.26878107880868
9	952.75	1081.75	1109.3125	438.625	193.612758206442	324.2944305586	455.966714161058	186.517945394221	16	6	1	0	2.13293613461248
10	1494.3	1639.7	1720.6	615.3	337.35087075625	369.921807052968	436.158554248847	173.894568952314	10	6	1	0	2.05948351323886
1	33.516129032258	43.0806451612903	59.9193548387097	35.7258064516129	22.927449120997	30.2870388322895	37.2374663525739	21.7393171872271	62	7	1	0	2.0883543315591
2	892	1323	1591.33333333333	843.166666666667	440.333585667351	657.561150515043	794.929277077877	436.847577028368	6	7	1	0	4.06109854792898
3	39.6333333333333	52.4333333333334	75.7	44.5666666666666	42.7835305308271	61.2198173816107	73.2326639269911	40.7462040669056	30	7	1	0	2
4	178.030303030303	239	301.090909090909	149.727272727273	89.6565362250357	119.191426261607	143.246608105929	68.2232156521929	33	7	1	0	3.48850920891022
5	1530.6	2330	2720.4	1572	739.433424995111	1013.15800840738	1035.63303829107	615.386017065711	5	7	1	0	4.767589642178
6	2348	3428	3943.5	2221	822	1281	1488.5	931	2	7	1	0	2
7	4337	7846	8554	5823	0	0	0	0	1	7	1	0	1
8	113.23076923077	148.442307692308	190.923076923077	94.0961538461539	23.2163051887622	34.7729445239129	41.7928153558992	30.7427296920269	52	7	1	0	2.47678568607949
9	305.458333333333	406.833333333333	490.791666666667	218.375	46.7049883302414	66.6307563874166	71.8159761673569	57.5651229222836	24	7	1	0	2.1405098131447
10	384.818181818182	518.272727272727	613.454545454545	303	131.208942318813	158.657308961024	181.505066047214	76.3425791674567	11	7	1	0	2
11	644.947368421053	910.684210526316	1069.68421052632	506.105263157895	210.618570407923	306.689081344918	346.586167250858	202.917490437654	19	7	1	0	5.97362751394341
