Regulating Agency,Water System No.,Water System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,Service Connections,Population,Last SNSV
DISTRICT 13 - SAN BERNARDINO,3610034,ONTARIO MUNICIPAL UTILITIES COMPANY,C,C,D5,T3,C1,36514,181107,10/17/2019
DISTRICT 15 - METROPOLITAN,1910124,"PASADENA-CITY, WATER DEPT.",C,C,D5,T4,C1,36448,168651,8/27/2019
DISTRICT 08 - SANTA ANA,3010027,CITY OF ORANGE,C,C,D5,TD,C1,35417,140094,5/8/2018
DISTRICT 13 - SAN BERNARDINO,3610052,VICTORVILLE WATER DISTRICT,C,C,D5,T3,C1,34943,122603,5/28/2019
DISTRICT 15 - METROPOLITAN,1910043,"GLENDALE-CITY, WATER DEPT.",C,C,D5,T5,C1,34318,205331,10/31/2019
DISTRICT 04 - SAN FRANCISCO,110006,CITY OF HAYWARD,C,C,D5,There are no treatment plants,C1,34205,151600,7/24/2019
DISTRICT 08 - SANTA ANA,3010062,CITY OF GARDEN GROVE,C,C,D4,T3,C1,33692,174226,2/21/2019
DISTRICT 14 - SAN DIEGO,3710025,SWEETWATER AUTHORITY,C,C,D5,T5,C1,33236,197134,2/15/2011
DISTRICT 20 - RIVERSIDE,3310021,JURUPA COMMUNITY SD,C,C,D5,Missing treatment classification in SDWIS,C1,33201,137305,11/21/2018
DISTRICT 22 - ANGELES,1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,C,C,D5,T2,C1,32937,143017,11/3/2015
DISTRICT 12 - VISALIA,1010003,CITY OF CLOVIS,C,C,D4,T4,C1,32571,114650,7/16/2020
DISTRICT 04 - SAN FRANCISCO,710001,CITY OF ANTIOCH,C,C,D4,T5,C1,31810,113061,4/18/2018
DISTRICT 22 - ANGELES,1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,C,C,D5,T2,C1,31754,129744,7/15/2016
DISTRICT 04 - SAN FRANCISCO,4810003,CITY OF FAIRFIELD,C,C,D4,T5,C1,30930,112140,10/17/2019
DISTRICT 08 - SANTA ANA,3010010,CITY OF FULLERTON,C,C,D5,T2,C1,30361,138632,9/11/2018
DISTRICT 22 - ANGELES,1910240,SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS,C,C,D5,T1,C1,30184,99094,12/15/2017
DISTRICT 15 - METROPOLITAN,1910126,"POMONA - CITY, WATER DEPT.",C,C,D5,T5,C1,30041,152361,12/3/2019
DISTRICT 02 - LASSEN,4510005,CITY OF REDDING,C,C,D5,T5,DAVCL,29747,87548,4/25/2018
DISTRICT 21 - VALLEY,410002,CAL-WATER SERVICE CO.-CHICO,C,C,D5,T2,C1,29283,104908,7/18/2018
DISTRICT 17 - SANTA CLARA,4310014,CITY OF SUNNYVALE,C,C,D4,There are no treatment plants,C1,29210,147055,9/14/2017
DISTRICT 06 - SANTA BARBARA,5610017,VENTURA WATER DEPARTMENT,C,C,D5,T4,C1,29055,113478,6/16/2017
DISTRICT 04 - SAN FRANCISCO,4810008,CITY OF VACAVILLE,C,C,D5,T4,C1,28218,96735,5/29/2019
DISTRICT 14 - SAN DIEGO,3710005,CARLSBAD MWD,C,C,D5,T2,C1,28079,88422,4/10/2017
DISTRICT 08 - SANTA ANA,3010022,GOLDEN STATE WC - WEST ORANGE COUNTY,C,C,D5,T1,C1,27643,114284,10/17/2017
DISTRICT 14 - SAN DIEGO,3710027,VISTA IRRIGATION DISTRICT,C,C,D5,TD,C1,27489,135204,6/27/2017
DISTRICT 06 - SANTA BARBARA,4210010,CITY OF SANTA BARBARA WATER DEPARTMENT,C,C,D5,T5,C1,27107,94929,11/5/2019
DISTRICT 16 - CENTRAL,1910234,WALNUT VALLEY WATER DISTRICT,C,C,D5,There are no treatment plants,C1,27089,105495,10/22/2018
DISTRICT 13 - SAN BERNARDINO,3610024,HESPERIA WD,C,C,D5,TD,C1,26879,94133,6/25/2019
DISTRICT 08 - SANTA ANA,3010023,CITY OF NEWPORT BEACH,C,C,D5,TD,C1,26817,67134,4/26/2018
DISTRICT 10 - STOCKTON,3910004,"LODI, CITY OF",C,C,D4,T4,C1,26688,68272,3/28/2019
DISTRICT 22 - ANGELES,1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,C,C,D5,T1,C1,26669,96314,12/1/2017
DISTRICT 14 - SAN DIEGO,3710006,"ESCONDIDO, CITY OF",C,C,D5,T5,C1,26604,137941,12/12/2016
DISTRICT 07 - HOLLYWOOD,1910102,PALMDALE WATER DIST.,C,C,D5,T5,C1,26546,115525,5/1/2019
DISTRICT 15 - METROPOLITAN,1910213,"TORRANCE-CITY, WATER DEPT.",C,C,D5,T2,C1,26226,108217,6/13/2019
DISTRICT 02 - LASSEN,3110025,PLACER CWA - FOOTHILL,C,C,D5,T5,C1,26124,83546,8/15/2018
DISTRICT 22 - ANGELES,1910036,CALIFORNIA WATER SERVICE CO. - ELA,C,C,D5,T3,C1,26115,151300,12/5/2017
DISTRICT 17 - SANTA CLARA,4310012,CITY OF SANTA CLARA,C,C,D5,There are no treatment plants,C1,25889,117200,8/21/2018
DISTRICT 07 - HOLLYWOOD,1910179,"BURBANK-CITY, WATER DEPT.",C,C,D5,T4,C1,25758,107149,8/22/2019
DISTRICT 17 - SANTA CLARA,4110008,CALIFORNIA WATER SERVICE - SAN MATEO,C,C,D4,There are no treatment plants,C1,25459,107465,6/7/2018
DISTRICT 06 - SANTA BARBARA,5610023,VENTURA WWD NO. 8 - SIMI VALLEY,C,C,D5,T2,C1,25385,97292,5/28/2019
DISTRICT 03 - MENDOCINO,2810003,"NAPA, CITY OF",C,C,D4,T5,C1,25130,88068,11/7/2019
DISTRICT 08 - SANTA ANA,3010037,YORBA LINDA WATER DISTRICT,C,C,D5,T3,C1,25093,82807,10/11/2016
DISTRICT 04 - SAN FRANCISCO,110009,DUBLIN SAN RAMON SERVICES DISTRICT,C,C,D5,There are no treatment plants,C1,24923,86895,9/19/2018
DISTRICT 10 - STOCKTON,3910011,"TRACY, CITY OF",C,C,D4,T5,C1,24905,92800,10/16/2019
DISTRICT 05 - MONTEREY,4410010,SANTA CRUZ WATER DEPARTMENT,C,C,D5,T5,C1,24421,97767,9/27/2019
DISTRICT 22 - ANGELES,1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,C,C,D5,There are no treatment plants,C1,24059,70271,12/15/2017
DISTRICT 08 - SANTA ANA,3010004,MESA WATER DISTRICT,C,C,D5,T2,C1,24018,110000,8/12/2020
DISTRICT 20 - RIVERSIDE,3310020,INDIO WATER AUTHORITY,C,C,D5,T2,C1,23765,78425,5/13/2020
DISTRICT 13 - SAN BERNARDINO,3610037,REDLANDS CITY MUD-WATER DIV,C,C,D5,T5,C1,23694,71554,9/14/2017
DISTRICT 16 - CENTRAL,1910007,AZUSA LIGHT AND WATER,C,C,D5,T4,C1,23590,106400,11/15/2018
DISTRICT 16 - CENTRAL,1910034,"DOWNEY - CITY, WATER DEPT.",C,C,D4,There are no treatment plants,C1,23555,112831,8/8/2018
DISTRICT 17 - SANTA CLARA,4310020,CITY OF SAN JOSE - EVG/EDV/COY,C,C,D5,There are no treatment plants,C1,23443,93300,2/26/2019
DISTRICT 05 - MONTEREY,2710010,CWSC SALINAS,C,C,D4,T2,C1,23312,106858,8/29/2018
DISTRICT 06 - SANTA BARBARA,4210011,SANTA MARIA WATER DEPARTMENT,C,C,D4,T3,DAVCL,23118,107356,7/16/2019
DISTRICT 14 - SAN DIEGO,3710037,PADRE DAM MWD,C,C,D5,There are no treatment plants,C1,22986,90864,3/13/2018
DISTRICT 17 - SANTA CLARA,4110022,CITY OF REDWOOD CITY,C,C,D5,There are no treatment plants,C1,22821,87023,12/4/2019
DISTRICT 20 - RIVERSIDE,3310005,DESERT WATER AGENCY,C,C,D5,T2,DAVCL,22727,89232,12/7/2017
DISTRICT 10 - STOCKTON,3910005,"MANTECA, CITY OF",C,C,D4,T3,C1,22596,81664,6/11/2019
DISTRICT 14 - SAN DIEGO,3710029,OLIVENHAIN MWD,C,C,D5,T5,C1,22579,86478,10/26/2018
DISTRICT 17 - SANTA CLARA,4110013,CITY OF DALY CITY,C,C,D5,T3,C1,22549,102593,9/13/2017
DISTRICT 04 - SAN FRANCISCO,110008,CITY OF PLEASANTON,C,C,D5,T1,C1,22220,79201,7/19/2017
DISTRICT 13 - SAN BERNARDINO,3610004,WEST VALLEY WATER DISTRICT,C,C,D5,T4,C1,22034,83902,7/18/2017
DISTRICT 11 - MERCED,2410009,CITY OF MERCED,C,C,D4,T2,DAVCL,21988,87110,5/14/2019
DISTRICT 14 - SAN DIEGO,3710002,VALLECITOS WD,C,C,D5,There are no treatment plants,C1,21805,103233,10/3/2019
DISTRICT 13 - SAN BERNARDINO,3610036,"CHINO HILLS, CITY OF",C,C,D5,T2,C1,21465,84364,4/21/2015
DISTRICT 17 - SANTA CLARA,4310022,GREAT OAKS WC INC,C,C,D4,TD,C1,21303,103590,11/8/2018
DISTRICT 13 - SAN BERNARDINO,3610064,EAST VALLEY WATER DISTRICT,C,C,D5,T4,C1,21257,103000,6/28/2018
DISTRICT 14 - SAN DIEGO,3710001,CAL-AM WATER CORONADO,C,C,D4,There are no treatment plants,C1,21187,95000,12/20/2016
DISTRICT 20 - RIVERSIDE,3310049,WESTERN MWD,C,C,D5,Operator is not required,C1,21137,85139,12/5/2018
DISTRICT 13 - SAN BERNARDINO,3610012,"CHINO, CITY OF",C,C,D5,T3,C1,21126,73683,8/17/2017
DISTRICT 13 - SAN BERNARDINO,3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,C,C,D5,TD,C1,20871,62602,8/27/2019
DISTRICT 08 - SANTA ANA,3010064,CITY OF WESTMINSTER,C,C,D4,TD,C1,20706,96179,6/19/2019
DISTRICT 09 - SACRAMENTO,3410014,"FOLSOM, CITY OF - MAIN",C,C,D4,T5,C1,20643,68122,11/14/2018
DISTRICT 18 - SONOMA,2110003,NORTH MARIN WATER DISTRICT,C,C,D5,T4,C1,20540,61500,5/29/2014
DISTRICT 06 - SANTA BARBARA,5610040,CAL AMERICAN WATER CO,C,C,D4,There are no treatment plants,C1,20218,69828,5/18/2017
DISTRICT 18 - SONOMA,4910006,"PETALUMA, CITY OF",C,C,D4,T2,C1,20071,64251,6/1/2017
DISTRICT 07 - HOLLYWOOD,1910239,"LAKEWOOD - CITY, WATER DEPT.",C,C,D5,T2,C1,20041,62895,8/15/2017
DISTRICT 22 - ANGELES,1910225,LAS VIRGENES MWD,C,C,D5,T4,C1,19955,75384,6/28/2017
DISTRICT 09 - SACRAMENTO,3410006,CITRUS HEIGHTS WATER DISTRICT,C,C,D4,TD,C1,19878,66597,8/7/2019
DISTRICT 07 - HOLLYWOOD,1910174,SUBURBAN WATER SYSTEMS-WHITTIER,C,C,D5,TD,C1,19852,64489,8/23/2018
DISTRICT 17 - SANTA CLARA,4310009,CITY OF PALO ALTO,C,C,D5,TD,C1,19842,66721,10/17/2017
DISTRICT 04 - SAN FRANCISCO,710004,BRENTWOOD,C,C,D4,TD,C1,19540,61383,6/26/2018
DISTRICT 13 - SAN BERNARDINO,3610050,"UPLAND, CITY OF",C,C,D5,T3,C1,19392,78564,2/27/2020
DISTRICT 20 - RIVERSIDE,3310002,BEAUMONT CHERRY VALLEY WD,C,C,D4,Operator is not required,C1,19278,49241,8/10/2016
DISTRICT 02 - LASSEN,3110004,CITY OF LINCOLN,C,C,D4,TD,C1,18974,48165,5/3/2017
DISTRICT 08 - SANTA ANA,3010003,CITY OF BUENA PARK,C,C,D5,TD,C1,18968,83884,4/2/2019
DISTRICT 24 - TULARE,5410015,"TULARE, CITY OF",C,C,D4,T2,DAVCL,18913,65982,5/9/2019
DISTRICT 17 - SANTA CLARA,4110006,CALIFORNIA WATER SERVICE - BEAR GULCH,C,C,D5,T3,C1,18836,58432,5/20/2019
DISTRICT 10 - STOCKTON,5010019,"TURLOCK, CITY OF",C,C,D4,There are no treatment plants,C1,18802,74471,11/22/2019
DISTRICT 04 - SAN FRANCISCO,710008,CITY OF PITTSBURG,C,C,D4,T5,C1,18777,62500,11/9/2017
DISTRICT 21 - VALLEY,5110002,CITY OF YUBA CITY,C,C,D4,T5,C1,18719,73202,1/14/2020
DISTRICT 17 - SANTA CLARA,4310001,CWSC LOS ALTOS SUBURBAN,C,C,D5,TD,C1,18308,70014,11/18/2019
DISTRICT 04 - SAN FRANCISCO,110003,CALIFORNIA WATER SERVICE - LIVERMORE,C,C,D5,T2,C1,18109,59000,7/25/2018
DISTRICT 08 - SANTA ANA,3010036,CITY OF SAN CLEMENTE,C,C,D4,T2,C1,17545,51522,11/2/2016
DISTRICT 16 - CENTRAL,1910001,CITY OF ALHAMBRA,C,C,D4,T3,C1,17498,85396,12/18/2018
DISTRICT 17 - SANTA CLARA,4310007,CITY OF MOUNTAIN VIEW,C,C,D4,T2,C1,17421,79492,11/19/2019
DISTRICT 12 - VISALIA,1610003,"HANFORD, CITY OF",C,C,D4,T2,C1,17296,17626,7/31/2019
DISTRICT 09 - SACRAMENTO,5710001,CITY OF DAVIS,C,C,D4,T2,C1,17220,71311,8/13/2018
DISTRICT 06 - SANTA BARBARA,5610020,THOUSAND OAKS WATER DEPT,C,C,D4,There are no treatment plants,C1,17163,53422,5/2/2019
DISTRICT 16 - CENTRAL,1910146,"SANTA MONICA-CITY, WATER DIVISION",C,C,D5,T4,C1,16888,92306,10/31/2018
DISTRICT 08 - SANTA ANA,3010069,CITY OF FOUNTAIN VALLEY,C,C,D5,T2,C1,16849,59227,1/29/2019
DISTRICT 09 - SACRAMENTO,5710006,CITY OF WOODLAND,C,C,D4,T1,C1,16753,60292,2/5/2020
DISTRICT 24 - TULARE,5410010,"PORTERVILLE, CITY OF",C,C,D5,TD,C1,16667,65702,11/14/2018
DISTRICT 22 - ANGELES,1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,C,C,D5,T1,C1,16599,72964,1/22/2020
DISTRICT 09 - SACRAMENTO,3410010,CALAM - SUBURBAN ROSEMONT,C,C,D4,T2,C1,16291,53781,9/27/2018
DISTRICT 06 - SANTA BARBARA,4210004,GOLETA WATER DISTRICT,C,C,D5,T5,C1,16214,86721,1/9/2020
DISTRICT 17 - SANTA CLARA,4110009,CALIFORNIA WATER SERVICE-S SAN FRANCISCO,C,C,D5,T2,C1,16146,62039,8/20/2019
DISTRICT 17 - SANTA CLARA,4310005,CITY OF MILPITAS,C,C,D5,There are no treatment plants,C1,16094,74865,5/9/2018
DISTRICT 07 - HOLLYWOOD,1910142,GSWC-SAN DIMAS,C,C,D5,T2,C1,16033,55107,8/2/2016
DISTRICT 15 - METROPOLITAN,1910051,"INGLEWOOD- CITY, WATER DEPT.",C,C,D5,T2,DAVCL,15843,84448,2/22/2018
DISTRICT 16 - CENTRAL,1910019,"CERRITOS - CITY, WATER DEPT.",C,C,D5,T2,C1,15756,49041,12/11/2018
DISTRICT 06 - SANTA BARBARA,4010009,SAN LUIS OBISPO WATER DEPARTMENT,C,C,D4,T5,DAVCL,15607,45920,9/18/2018
DISTRICT 09 - SACRAMENTO,5710003,CITY OF WEST SACRAMENTO,C,C,D4,T5,C1,15083,108082,11/1/2019
DISTRICT 13 - SAN BERNARDINO,3610044,BIG BEAR LAKE DWP - BIG BEAR SYSTEM,C,C,D3,T1,DAVCL,14832,14368,11/4/2019
DISTRICT 09 - SACRAMENTO,3410017,CALAM - PARKWAY,C,C,D3,T3,C1,14784,48804,12/18/2019
DISTRICT 09 - SACRAMENTO,3410015,GOLDEN STATE WATER CO. - CORDOVA,C,C,D3,T4,C1,14759,45572,3/20/2019
DISTRICT 17 - SANTA CLARA,4310004,CITY OF GILROY,C,C,D4,T1,C1,14525,57315,8/23/2018
DISTRICT 17 - SANTA CLARA,4310006,CITY OF MORGAN HILL,C,C,D4,T1,C1,14487,45742,8/22/2018
DISTRICT 05 - MONTEREY,4410011,"WATSONVILLE, CITY OF",C,C,D4,T3,DAVCL,14449,65966,7/9/2019
DISTRICT 22 - ANGELES,1910152,"SOUTH GATE-CITY, WATER DEPT.",C,C,D5,T2,DAVCL,14425,88654,12/11/2018
DISTRICT 09 - SACRAMENTO,3410013,CALAM - LINCOLN OAKS,C,C,D3,T2,C1,14411,47577,6/18/2020
DISTRICT 05 - MONTEREY,4410017,SOQUEL CREEK WATER DISTRICT,C,C,D4,T2,C1,14390,37720,5/22/2019
DISTRICT 22 - ANGELES,1910026,"COMPTON-CITY, WATER DEPT.",C,C,D4,TD,DAVCL,14384,79898,2/18/2020
DISTRICT 20 - RIVERSIDE,3310022,LAKE HEMET MWD,C,C,D5,Operator is not required,DAVCL,14310,52913,11/7/2017
DISTRICT 09 - SACRAMENTO,910002,SOUTH TAHOE PUD - MAIN,C,C,D4,T2,DAVCL,14168,121124,11/20/2019
DISTRICT 11 - MERCED,2010002,CITY OF MADERA,C,C,D4,T2,C1,14144,66225,10/23/2019
DISTRICT 09 - SACRAMENTO,3410009,FAIR OAKS WATER DISTRICT,C,C,D3,T1,C1,14144,35114,1/16/2019
DISTRICT 07 - HOLLYWOOD,1910139,CAL/AM WATER COMPANY - SAN MARINO,C,C,D4,T2,C1,14080,46464,12/11/2019
DISTRICT 08 - SANTA ANA,3010046,CITY OF TUSTIN,C,C,D4,T3,C1,14046,68088,10/5/2017
DISTRICT 14 - SAN DIEGO,3710015,"POWAY, CITY OF",C,C,D5,T5,C1,13930,49990,4/24/2019
DISTRICT 06 - SANTA BARBARA,5610019,CAMARILLO WATER DEPT,C,C,D4,T2,C1,13882,43831,3/15/2019
DISTRICT 08 - SANTA ANA,3010018,CITY OF LA HABRA,C,C,D5,T2,C1,13801,63118,1/16/2018
DISTRICT 13 - SAN BERNARDINO,3610055,YUCAIPA VALLEY WATER DISTRICT,C,C,D4,T3,C1,13636,54292,5/17/2017
DISTRICT 07 - HOLLYWOOD,1910092,"MONTEREY PARK-CITY, WATER DEPT.",C,C,D5,T4,C1,13625,62183,1/28/2020
DISTRICT 07 - HOLLYWOOD,1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,C,C,D3,T2,C1,13611,55223,6/21/2018
DISTRICT 22 - ANGELES,1910003,CITY OF ARCADIA,C,C,D4,T3,C1,13545,44705,6/6/2017
DISTRICT 07 - HOLLYWOOD,1910044,"GLENDORA-CITY, WATER DEPT.",C,C,D4,T2,C1,13468,44444,7/11/2018
DISTRICT 06 - SANTA BARBARA,5610059,GOLDEN STATE WATER COMPANY - SIMI VALLEY,C,C,D3,T2,C1,13453,43670,4/18/2018
DISTRICT 16 - CENTRAL,1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",C,C,D4,T2,C1,13296,35135,1/31/2019
DISTRICT 22 - ANGELES,1910194,ROWLAND WATER DISTRICT,C,C,D5,There are no treatment plants,C1,13202,55038,6/28/2017
DISTRICT 09 - SACRAMENTO,2910003,"TRUCKEE-DONNER PUD, MAIN",C,C,D4,T2,C1,13101,36730,7/25/2018
DISTRICT 08 - SANTA ANA,3010035,GOLDEN STATE WC - PLACENTIA/YORBA LINDA,C,C,D5,TD,C1,12861,53938,5/15/2018
DISTRICT 20 - RIVERSIDE,3310008,MISSION SPRINGS WD,C,C,D4,T2,DAVCL,12750,36774,3/27/2019
DISTRICT 08 - SANTA ANA,3010002,CITY OF BREA,C,C,D4,There are no treatment plants,C1,12664,43328,12/18/2018
DISTRICT 19 - TEHACHAPI,1510017,INDIAN WELLS VALLEY W.D.,C,C,D3,T3,C1,12533,33247,10/12/2017
DISTRICT 15 - METROPOLITAN,1910009,VALLEY COUNTY WATER DIST.,C,C,D4,T5,DAVCL,12462,56556,6/8/2010
DISTRICT 11 - MERCED,2410005,CITY OF LOS BANOS,C,C,D3,T1,C1,12425,41898,9/18/2018
DISTRICT 09 - SACRAMENTO,3410008,ELK GROVE WATER SERVICE,C,C,D3,Missing treatment classification in SDWIS,C1,12261,41709,12/6/2019
DISTRICT 08 - SANTA ANA,3010042,SOUTH COAST WATER DISTRICT,C,C,D4,T2,C1,12189,35005,4/3/2019
DISTRICT 17 - SANTA CLARA,4110025,NORTH COAST COUNTY WATER DIST,C,C,D4,There are no treatment plants,C1,11967,38418,5/3/2018
DISTRICT 13 - SAN BERNARDINO,3610029,MONTE VISTA CWD,C,C,D5,T3,C1,11856,57678,8/4/2020
DISTRICT 10 - STOCKTON,5010028,"CERES, CITY OF",C,C,D3,T2,DAVCL,11792,48697,8/20/2019
DISTRICT 04 - SAN FRANCISCO,710007,DIABLO WATER DISTRICT,C,C,D3,T2,C1,11700,40144,10/24/2019
DISTRICT 09 - SACRAMENTO,3410004,CARMICHAEL WATER DISTRICT,C,C,D3,T5,C1,11694,37897,10/19/2018
DISTRICT 14 - SAN DIEGO,3710021,SAN DIEGUITO WD,C,C,D3,There are no treatment plants,C1,11666,38003,3/5/2019
DISTRICT 06 - SANTA BARBARA,4210016,GOLDEN STATE WATER COMPANY - ORCUTT,C,C,D3,T2,C1,11612,32157,4/16/2018
DISTRICT 13 - SAN BERNARDINO,3610038,"RIALTO, CITY OF",C,C,D4,T1,C1,11579,54453,5/6/2015
DISTRICT 12 - VISALIA,1510015,OILDALE MWC,C,C,D3,TD,DAVCL,11497,35630,12/18/2018
DISTRICT 17 - SANTA CLARA,4110023,CITY OF SAN BRUNO,C,C,D4,T2,C1,11423,46085,6/22/2017
